array_separation_lambda,array_separation_mm,target_z_m,method,control_points,radius_lambda,synthesis_wall_s,radial_window_mm,radial_samples,angular_samples,normalization,radial_profile_rmse_to_method_reference,selected,fixed_1p4,reference
30.0,257.25,0.0,IB,8,0.9,7.539999205619097e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5124476110150077,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,0.95,7.150000601541251e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5111041111403543,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.0,6.999999459367245e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5047672038421394,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.05,7.599999662488699e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4862628517486458,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.1,6.840001151431352e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4559428415690464,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.15,9.220000356435776e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4169404369275195,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.2,7.510000432375818e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3379654368124257,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.25,7.229999755509198e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2633110003987478,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.3,7.259999983943999e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2053580890082613,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.35,6.799999391660094e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.13410431755555724,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.4,7.019999611657113e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.11268363957883319,False,True,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.45,7.150000601541251e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.0951269756454449,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.5,7.340000593103468e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.08848941599733834,True,False,"same-method D/lambda=26.7, R/lambda=1.40"
