component,iteration_budget,n,median_projector_distance,q25_projector_distance,q75_projector_distance,primary_method,reference_method
B1,500,49,0.3051591077825342,0.2820297904846102,0.33879444144073984,GFE,GFE
B1,10000,49,0.09911622894124736,0.07956591950269723,0.1320594851358184,GFE,GFE
B2,500,49,0.303298198079189,0.2756697341789159,0.32221463059623207,GFE,GFE
B2,10000,49,0.09290113025852177,0.07598164440047069,0.1157552610856834,GFE,GFE
