component,iteration,n,median,q25,q75
B1,500,49,0.3050901790284817,0.2820000314766291,0.3388315155059228
B1,2000,49,0.16721437313784257,0.13961442500734678,0.1992216163381939
B1,10000,49,0.09907527701826065,0.07944863349444492,0.1320247384388689
B2,500,49,0.30331746772462415,0.275650897004435,0.3221909189339277
B2,2000,49,0.17302915692242413,0.14289745764862083,0.1896719636697437
B2,10000,49,0.0929207386102346,0.07613553588552836,0.11569259001987445
