component,metric,slope_per_decade,intercept,pearson_r,n
B1,distance_to_target_fe,-0.15555116771414398,0.7105778473262669,-0.882304455920625,147
B2,distance_to_target_fe,-0.15615640028012734,0.7079370445453814,-0.8889487812950232,147
