objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,posthoc_winding,posthoc_winding_loop_min_over_median,posthoc_winding_circulation_residual,posthoc_winding_robust,posthoc_legacy_winding_label,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trial_id,cache_status,state_index,component,local_component,component_size,source_endpoint_position,force_target_z_n,alpha_per_m,iteration_cap,iterations,evaluations,wall_time_s,gradient_norm,phase_content_id,source_alpha_per_m,source_role,correct_sign_gorkov,primary_method,reference_method
-0.058896589373043574,9.61102803925443e-10,139,271,4.07842211499883,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8168703030226961,0.0,True,w+,square,Square,3,1,0.0,-0.6666666666666667,xi+0.000000_eta-0.666667,0.0,-0.008,0.05,GFE,GFE,3,743619750,square|xi+0.000000_eta-0.666667|GFE|r03,cached,203,B1,1,7,103,1.1142852793561358e-06,10.0,10000,7,9,0.0010824000055436045,1.2023753632498346e-08,000000000000080f9cec723a0f0a0b4c,9.0,branch-identified initialization only,True,GFE,GFE
-0.053525732896834925,3.896245791042517e-09,130,192,3.92338454000128,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8193151271015173,5.551115123125784e-16,True,w+,square,Square,4,1,0.3333333333333332,-0.6666666666666667,xi+0.333333_eta-0.666667,0.0039999999999999,-0.008,0.0533333333333333,GFE,GFE,5,214318534,square|xi+0.333333_eta-0.666667|GFE|r05,cached,225,B1,0,6,115,1.1142852793561358e-06,10.0,10000,6,8,0.001145999995060265,2.9244086853678342e-08,000000000000080f91b227b81c1f0bc3,9.0,branch-identified initialization only,True,GFE,GFE
-0.04875746311386853,3.008938129264199e-09,154,210,3.946247981999477,False,2,Desired error not necessarily achieved due to precision loss.,1,0.851527984596469,2.220446049250313e-16,True,w+,square,Square,5,1,0.6666666666666665,-0.6666666666666667,xi+0.666667_eta-0.666667,0.0079999999999999,-0.008,0.0566666666666666,GFE,GFE,5,404966448,square|xi+0.666667_eta-0.666667|GFE|r05,cached,245,B1,1,5,125,1.1142852793561358e-06,10.0,10000,6,8,0.0010242999996989965,1.6703587919841887e-08,000000000000080f8ffc01eb96f90bdc,9.0,branch-identified initialization only,True,GFE,GFE
-0.04368584352122633,4.6297030218676515e-09,169,233,2.716404075003084,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8354324084254836,0.0,True,w+,square,Square,6,1,1.0,-0.6666666666666667,xi+1.000000_eta-0.666667,0.012,-0.008,0.06,GFE,GFE,7,108800698,square|xi+1.000000_eta-0.666667|GFE|r07,cached,267,B1,0,4,137,1.1142852793561358e-06,10.0,10000,8,10,0.0014106000016909093,2.988722127917723e-08,000000000000080f54a398e31c071248,9.0,branch-identified initialization only,True,GFE,GFE
-0.07347779327814241,3.9771163695581e-09,110,173,2.299328280998452,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7151690784844275,0.0,True,w+,square,Square,0,2,-1.0,-0.3333333333333333,xi-1.000000_eta-0.333333,-0.012,-0.004,0.04,GFE,GFE,8,819372224,square|xi-1.000000_eta-0.333333|GFE|r08,cached,288,B1,1,5,148,1.1142852793561358e-06,10.0,10000,7,9,0.0011971999920206144,2.653134522872095e-08,000000000000080fc2ff73399fc60977,9.0,branch-identified initialization only,True,GFE,GFE
-0.06799583848426995,3.0762209070171847e-09,116,176,3.985310086998652,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7966673151997213,0.0,True,w+,square,Square,1,2,-0.6666666666666667,-0.3333333333333333,xi-0.666667_eta-0.333333,-0.008,-0.004,0.0433333333333333,GFE,GFE,3,530760465,square|xi-0.666667_eta-0.333333|GFE|r03,cached,303,B1,1,5,153,1.1142852793561358e-06,10.0,10000,8,11,0.001458200000342913,1.1417369529944915e-08,000000000000080f78e7526472a9282a,9.0,branch-identified initialization only,True,GFE,GFE
-0.06352032479812532,2.7564445205955782e-09,131,203,4.783980412998062,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8059964278293701,0.0,True,w+,square,Square,2,2,-0.3333333333333333,-0.3333333333333333,xi-0.333333_eta-0.333333,-0.004,-0.004,0.0466666666666666,GFE,GFE,0,143699840,square|xi-0.333333_eta-0.333333|GFE|r00,cached,320,B1,0,3,160,1.1142852793561358e-06,10.0,10000,7,9,0.0013479000044753775,1.56728458112014e-08,000000000000080f4f631d7a93550c5b,9.0,branch-identified initialization only,True,GFE,GFE
-0.05904316916585301,2.366921395334581e-09,133,237,1.196556694998435,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8415995237214614,0.0,True,w+,square,Square,3,2,0.0,-0.3333333333333333,xi+0.000000_eta-0.333333,0.0,-0.004,0.05,GFE,GFE,6,352493793,square|xi+0.000000_eta-0.333333|GFE|r06,cached,346,B1,1,4,176,1.1142852793561358e-06,10.0,10000,9,11,0.0014341000060085207,8.306486277218416e-09,000000000000080ff1588f22ac0906db,9.0,branch-identified initialization only,True,GFE,GFE
-0.05435851904233852,5.8305401407249165e-09,140,181,2.6271644989974448,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8390229317246197,1.1102230246251563e-16,True,w+,square,Square,4,2,0.3333333333333332,-0.3333333333333333,xi+0.333333_eta-0.333333,0.0039999999999999,-0.004,0.0533333333333333,GFE,GFE,3,290385191,square|xi+0.333333_eta-0.333333|GFE|r03,cached,363,B1,0,7,183,1.1142852793561358e-06,10.0,10000,6,8,0.0010821999894687906,2.134344678277607e-08,000000000000080f5b8f68b5a25013f5,9.0,branch-identified initialization only,True,GFE,GFE
-0.0494116707337095,3.148336507186061e-09,179,256,4.169920398999238,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8709988945241736,0.0,True,w+,square,Square,5,2,0.6666666666666665,-0.3333333333333333,xi+0.666667_eta-0.333333,0.0079999999999999,-0.004,0.0566666666666666,GFE,GFE,6,286532674,square|xi+0.666667_eta-0.333333|GFE|r06,cached,386,B1,1,5,196,1.1142852793561358e-06,10.0,10000,6,8,0.0012189999979455024,1.9979837657771742e-08,000000000000080f87597eee04f80382,9.0,branch-identified initialization only,True,GFE,GFE
