task,reference_method,internal_reference_method,comparison_method,comparison,metric,planned_pairs,valid_pairs,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,ci_low,ci_high,interval_status,bootstrap_resamples,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,pairing_keys,pairing_detail,sampling_unit
Single,GFE,FE+g,GS,GFE minus GS,field_concentration_fraction,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,GS,GFE minus GS,finite_ka_displacement_a,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,GS,GFE minus GS,finite_ka_stiffness_min_n_m,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,GS,GFE minus GS,pressure_abs_at_exact_equilibrium_pa,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,GS,GFE minus GS,command_time_s,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,AD,GFE minus AD,field_concentration_fraction,5,5,0.001724186440024672,0.0017238470882665613,0.0017247619467324615,0.00172384132554948,0.0017256109888621474,0.00172384132554948,0.0017256109888621474,estimated,10000,10000,20260906,7.783805337517027e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,AD,GFE minus AD,finite_ka_displacement_a,5,5,-0.3547897515887819,-0.3550592557599054,-0.3534536509541989,-0.35537803014957564,-0.35102892285049303,-0.35537803014957564,-0.35102892285049303,estimated,10000,10000,20260906,8.882120522214945e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,AD,GFE minus AD,finite_ka_stiffness_min_n_m,5,5,0.00013291598488765878,0.0001321831723680618,0.00013296731916952707,0.00013144882062247985,0.00013325155255333558,0.00013144882062247985,0.00013325155255333558,estimated,10000,10000,20260906,3.7115153972760735e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,AD,GFE minus AD,pressure_abs_at_exact_equilibrium_pa,5,5,-1.8572490629025513,-5.051996521882758,-1.0030211736895538,-5.101936089393653,-0.14665614852091136,-5.101936089393653,-0.14665614852091136,estimated,10000,10000,20260906,4.54037409199915e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,AD,GFE minus AD,command_time_s,5,5,-0.09147550001216587,-0.11466129998734687,-0.0907254999910947,-0.6390105000027688,-0.07961009998689406,-0.6390105000027688,-0.07961009998689406,estimated,10000,10000,20260906,4.559544977686126e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,Conventional,GFE minus Conventional,field_concentration_fraction,5,5,-0.014156695060386498,-0.015066193467886374,-0.01368762011452615,-0.015183160813950214,-0.009726352183647702,-0.015183160813950214,-0.009726352183647702,estimated,10000,10000,20260906,4.256496626270868e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,Conventional,GFE minus Conventional,finite_ka_displacement_a,5,5,-0.9579943603206131,-0.9639142291359145,-0.8713482045821986,-0.9695963403339141,-0.8629751700563533,-0.9695963403339141,-0.8629751700563533,estimated,10000,10000,20260906,8.149645042852356e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,Conventional,GFE minus Conventional,finite_ka_stiffness_min_n_m,5,5,0.00014919019176171588,0.00014238463689562777,0.0001590198359624614,0.0001240160963354739,0.00018129195384601442,0.0001240160963354739,0.00018129195384601442,estimated,10000,10000,20260906,6.371827984986538e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,Conventional,GFE minus Conventional,pressure_abs_at_exact_equilibrium_pa,5,5,-441.27568469982396,-441.7269954128379,-430.40916198632686,-443.0832763303458,-428.07822946226725,-443.0832763303458,-428.07822946226725,estimated,10000,10000,20260906,3.04975135164916e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
