task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,BFGS,lambda_pressure_factor,0.03,objective_n_m,1,1,0,-56.88019022395463,-56.88019022395463,-56.88019022395463,-56.88019022395463,-56.88019022395463,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,surrogate_residual_n,1,1,0,7.38313686632916e-07,7.38313686632916e-07,7.38313686632916e-07,7.38313686632916e-07,7.38313686632916e-07,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,command_cosine_to_fixed_GFE,1,1,0,0.999044362365957,0.999044362365957,0.999044362365957,0.999044362365957,0.999044362365957,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,field_cosine_to_fixed_GFE,1,1,0,0.9998141184110423,0.9998141184110423,0.9998141184110423,0.9998141184110423,0.9998141184110423,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,worst_displacement_a,1,1,0,0.2132454312317566,0.2132454312317566,0.2132454312317566,0.2132454312317566,0.2132454312317566,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,minimum_stiffness_n_m,1,1,0,0.002117876574795622,0.002117876574795622,0.002117876574795622,0.002117876574795622,0.002117876574795622,,
Single,Conventional,BFGS,lambda_pressure_factor,0.03,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,solve_wall_s,1,1,0,73.7067578999995,73.7067578999995,73.7067578999995,73.7067578999995,73.7067578999995,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,iterations,1,1,0,8968.0,8968.0,8968.0,8968.0,8968.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,evaluations,1,1,0,10581.0,10581.0,10581.0,10581.0,10581.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,terminal_gradient_l2,1,1,0,68.25019878411565,68.25019878411565,68.25019878411565,68.25019878411565,68.25019878411565,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,terminal_gradient_inf,1,1,0,14.264583288324568,14.264583288324568,14.264583288324568,14.264583288324568,14.264583288324568,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,relative_gradient_l2,1,1,0,0.9808704586657626,0.9808704586657626,0.9808704586657626,0.9808704586657626,0.9808704586657626,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,objective_n_m,1,1,0,-56.393864142384984,-56.393864142384984,-56.393864142384984,-56.393864142384984,-56.393864142384984,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,surrogate_residual_n,1,1,0,1.9555513744265666e-06,1.9555513744265666e-06,1.9555513744265666e-06,1.9555513744265666e-06,1.9555513744265666e-06,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,command_cosine_to_fixed_GFE,1,1,0,0.9885443714311256,0.9885443714311256,0.9885443714311256,0.9885443714311256,0.9885443714311256,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,field_cosine_to_fixed_GFE,1,1,0,0.9979877995194368,0.9979877995194368,0.9979877995194368,0.9979877995194368,0.9979877995194368,,
