task,method,optimizer,parameter,parameter_value,displacement_limit_a,n_total,n_mechanically_evaluated,n_resolved_restoring_localized
Triple,GFE,BFGS,axial_ratio_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,2.0,0.1,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,2.0,0.25,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,2.0,0.5,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,2.0,1.0,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,3.0,0.1,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,3.0,0.25,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,3.0,0.5,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,3.0,1.0,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,10.0,0.1,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,10.0,0.25,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,10.0,0.5,1,1,0
Triple,GFE,BFGS,axial_ratio_factor,10.0,1.0,1,1,0
Triple,GFE,BFGS,beta_factor,0.0,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,0.0,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,0.0,0.5,1,1,0
Triple,GFE,BFGS,beta_factor,0.0,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.01,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,0.01,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,0.01,0.5,1,1,0
Triple,GFE,BFGS,beta_factor,0.01,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.03,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,0.03,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,0.03,0.5,1,1,0
Triple,GFE,BFGS,beta_factor,0.03,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.1,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,0.1,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,0.1,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,0.1,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.3,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,0.3,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,0.3,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,0.3,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,1.0,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,1.0,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,3.0,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,3.0,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,3.0,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,3.0,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,10.0,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,10.0,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,10.0,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,10.0,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,30.0,0.1,1,1,0
Triple,GFE,BFGS,beta_factor,30.0,0.25,1,1,0
Triple,GFE,BFGS,beta_factor,30.0,0.5,1,1,1
Triple,GFE,BFGS,beta_factor,30.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.01,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.01,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.01,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.01,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.03,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.03,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.03,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.03,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.1,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.1,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.1,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.1,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.3,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.3,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,0.3,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.3,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,1.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,1.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,3.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,3.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,3.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,3.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,10.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,10.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,10.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,10.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,30.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,30.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_force_factor,30.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,30.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,1e-05,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,1e-05,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,1e-05,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,1e-05,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,3e-05,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,3e-05,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,3e-05,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,3e-05,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0001,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0001,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0001,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0001,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0003,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0003,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0003,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0003,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.001,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.001,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.001,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.001,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.003,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.003,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.003,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.003,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.01,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.01,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.01,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.01,1.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.03,0.1,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.03,0.25,1,1,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.03,0.5,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.03,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.01,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.01,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.01,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.01,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.03,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.03,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.03,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.03,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.1,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.1,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.1,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.1,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.3,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.3,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,0.3,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.3,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,1.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,1.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,3.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,3.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,3.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,3.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,10.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,10.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,10.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,10.0,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,30.0,0.1,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,30.0,0.25,1,1,0
Triple,GFE,BFGS,epsilon_std_factor,30.0,0.5,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,30.0,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.01,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.01,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.01,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.01,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.02,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.02,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.02,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.02,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.05,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.05,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.05,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.05,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.1,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.1,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.1,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.1,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.2,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.2,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.2,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.2,1.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.5,0.1,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.5,0.25,1,1,0
Triple,GFE,BFGS,first_stage_factor,0.5,0.5,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.5,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1.0,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,1.0,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,1.0,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1.0,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,50,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,50,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,50,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,50,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,100.0,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,100.0,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,100.0,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,100.0,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,250,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,250,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,250,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,250,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1000,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,1000,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,1000,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1000,1.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,3000,0.1,1,1,0
Triple,GFE,BFGS,first_stage_iterations,3000,0.25,1,1,0
Triple,GFE,BFGS,first_stage_iterations,3000,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,3000,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.0,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.0,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.0,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.0,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.03,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.03,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.03,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.03,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.1,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.1,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.1,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.1,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.3,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.3,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,0.3,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.3,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,1.0,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,1.0,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,1.0,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,1.0,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,3.0,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,3.0,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,3.0,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,3.0,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,10.0,0.1,1,1,0
Triple,GFE,BFGS,gamma_uniformity,10.0,0.25,1,1,0
Triple,GFE,BFGS,gamma_uniformity,10.0,0.5,1,1,1
Triple,GFE,BFGS,gamma_uniformity,10.0,1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,0.1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,0.1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,0.1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,0.1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,10",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,10",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,10",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,10",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,0.1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,0.1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,0.1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,0.1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,10",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,10",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,10",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,10",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,0.1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,0.1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,0.1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,0.1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,1",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,1",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,1",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,1",1.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,10",0.1,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,10",0.25,1,1,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,10",0.5,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,10",1.0,1,1,1
Triple,GFE,BFGS,gtol,1e-10,0.1,1,1,0
Triple,GFE,BFGS,gtol,1e-10,0.25,1,1,0
Triple,GFE,BFGS,gtol,1e-10,0.5,1,1,1
Triple,GFE,BFGS,gtol,1e-10,1.0,1,1,1
Triple,GFE,BFGS,gtol,1e-09,0.1,1,1,0
Triple,GFE,BFGS,gtol,1e-09,0.25,1,1,0
Triple,GFE,BFGS,gtol,1e-09,0.5,1,1,1
Triple,GFE,BFGS,gtol,1e-09,1.0,1,1,1
Triple,GFE,BFGS,gtol,1e-08,0.1,1,1,0
Triple,GFE,BFGS,gtol,1e-08,0.25,1,1,0
Triple,GFE,BFGS,gtol,1e-08,0.5,1,1,1
Triple,GFE,BFGS,gtol,1e-08,1.0,1,1,1
Triple,GFE,BFGS,gtol,1e-07,0.1,1,1,0
Triple,GFE,BFGS,gtol,1e-07,0.25,1,1,0
Triple,GFE,BFGS,gtol,1e-07,0.5,1,1,1
Triple,GFE,BFGS,gtol,1e-07,1.0,1,1,1
Triple,GFE,BFGS,gtol,1e-06,0.1,1,1,0
Triple,GFE,BFGS,gtol,1e-06,0.25,1,1,0
Triple,GFE,BFGS,gtol,1e-06,0.5,1,1,1
Triple,GFE,BFGS,gtol,1e-06,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,0.25,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,0.25,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,0.25,0.5,1,1,0
Triple,GFE,BFGS,stencil_factor,0.25,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,0.5,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,0.5,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,0.5,0.5,1,1,0
Triple,GFE,BFGS,stencil_factor,0.5,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,0.75,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,0.75,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,0.75,0.5,1,1,0
Triple,GFE,BFGS,stencil_factor,0.75,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,1.0,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,1.0,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,stencil_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,1.5,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,1.5,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,1.5,0.5,1,1,1
Triple,GFE,BFGS,stencil_factor,1.5,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,2.0,0.1,1,1,0
Triple,GFE,BFGS,stencil_factor,2.0,0.25,1,1,0
Triple,GFE,BFGS,stencil_factor,2.0,0.5,1,1,0
Triple,GFE,BFGS,stencil_factor,2.0,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.1,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.1,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.1,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.1,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.3,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.3,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.3,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.3,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.5,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.5,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,0.5,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.5,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,1.0,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,1.0,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,1.0,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,1.0,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,2.0,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,2.0,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,2.0,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,2.0,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,3.0,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,3.0,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,3.0,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,3.0,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,10.0,0.1,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,10.0,0.25,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,10.0,0.5,1,1,0
Triple,GFE,BFGS,transverse_ratio_factor,10.0,1.0,1,1,1
