task,method,optimizer,parameter,parameter_value,displacement_limit_a,n_total,n_mechanically_evaluated,n_resolved_restoring_localized
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,0.1,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,0.25,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,0.1,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,0.25,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,0.1,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,0.25,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,0.1,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,0.25,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,0.1,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,0.25,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,0.1,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,0.25,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,0.5,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,1.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-10,0.1,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-10,0.25,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-10,0.5,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-10,1.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-09,0.1,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-09,0.25,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-09,0.5,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-09,1.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-08,0.1,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-08,0.25,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-08,0.5,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-08,1.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-07,0.1,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-07,0.25,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-07,0.5,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-07,1.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-06,0.1,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-06,0.25,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-06,0.5,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-06,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.25,0.1,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.25,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.25,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.25,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.5,0.1,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.5,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.5,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.5,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.75,0.1,1,1,0
Single,GFE,L-BFGS-B,stencil_factor,0.75,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.75,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.75,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.0,0.1,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.0,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.0,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.0,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.5,0.1,1,1,0
Single,GFE,L-BFGS-B,stencil_factor,1.5,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.5,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.5,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,2.0,0.1,1,1,0
Single,GFE,L-BFGS-B,stencil_factor,2.0,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,2.0,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,2.0,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.1,0.1,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.1,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.1,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.1,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.3,0.1,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.3,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.3,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.3,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.5,0.1,1,1,1
