task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_surrogate_residual_n,1,-1.50116834911691e-06,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_command_cosine_to_fixed_GFE,1,-0.004552870672930864,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_field_cosine_to_fixed_GFE,1,-0.0019311273533421103,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_worst_displacement_a,1,0.9611916834324392,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_minimum_stiffness_n_m,1,-0.00012993751299128498,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,alpha_factor,100.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_solve_wall_s,1,-0.0008289999968837947,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_iterations,1,-3.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_evaluations,1,-4.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_terminal_gradient_l2,1,-1.2338916332397866e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_terminal_gradient_inf,1,7.541427329104342e-10,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_relative_gradient_l2,1,-3.811549469587054e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_objective_n_m,1,-0.02253396700064792,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_surrogate_residual_n,1,2.1923593376783808e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_command_cosine_to_fixed_GFE,1,-0.00014453019158178204,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_field_cosine_to_fixed_GFE,1,-5.888473649573456e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_worst_displacement_a,1,0.15306504874531285,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_minimum_stiffness_n_m,1,-0.00011391218730234711,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_solve_wall_s,1,-0.00039000000106170774,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_iterations,1,-2.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_evaluations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_terminal_gradient_l2,1,-2.182378652941777e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_terminal_gradient_inf,1,-2.487109584464216e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_relative_gradient_l2,1,-5.19481507307935e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_objective_n_m,1,-0.015999269094856335,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_surrogate_residual_n,1,1.6502144366229027e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_command_cosine_to_fixed_GFE,1,-8.264593446760671e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_field_cosine_to_fixed_GFE,1,-3.3250592065603435e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_worst_displacement_a,1,0.11217454492831799,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_minimum_stiffness_n_m,1,-5.626776695080845e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_solve_wall_s,1,-0.0006770999898435548,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_iterations,1,1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_evaluations,1,2.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_terminal_gradient_l2,1,-1.7037019991351256e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_terminal_gradient_inf,1,6.104549587291961e-10,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_relative_gradient_l2,1,-4.16804715537792e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_objective_n_m,1,-0.010511853081151427,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_surrogate_residual_n,1,1.1422086063556542e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_command_cosine_to_fixed_GFE,1,-3.9985495838390506e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_field_cosine_to_fixed_GFE,1,-1.588118724427101e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_worst_displacement_a,1,0.07415749701272578,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_minimum_stiffness_n_m,1,-5.0581245270453316e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_solve_wall_s,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_iterations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_evaluations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_terminal_gradient_l2,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_terminal_gradient_inf,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_relative_gradient_l2,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_objective_n_m,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_surrogate_residual_n,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_command_cosine_to_fixed_GFE,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_field_cosine_to_fixed_GFE,1,-6.661338147750939e-16,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_worst_displacement_a,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_minimum_stiffness_n_m,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_solve_wall_s,1,-0.0010426999942865223,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_iterations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_evaluations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_terminal_gradient_l2,1,-1.3478974371629713e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_terminal_gradient_inf,1,-1.0792016891350868e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_relative_gradient_l2,1,-2.147192018676759e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_objective_n_m,1,0.013124314695621198,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_surrogate_residual_n,1,-1.8608643148820884e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_command_cosine_to_fixed_GFE,1,-0.00011520986777024955,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_field_cosine_to_fixed_GFE,1,-4.138474987092078e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_worst_displacement_a,1,0.03456030304789557,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_minimum_stiffness_n_m,1,-0.00011721634460326678,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_solve_wall_s,1,-0.0009170999983325601,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_iterations,1,1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_evaluations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_terminal_gradient_l2,1,-6.120322243675075e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_terminal_gradient_inf,1,1.7799511434250616e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_relative_gradient_l2,1,4.797481641391173e-06,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_objective_n_m,1,0.020985450788076225,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_surrogate_residual_n,1,-3.3217385049745904e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_command_cosine_to_fixed_GFE,1,-0.00038932308771622015,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_field_cosine_to_fixed_GFE,1,-0.00013077146599715928,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_worst_displacement_a,1,0.1391357349494905,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_minimum_stiffness_n_m,1,-0.00019584400232890153,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_solve_wall_s,1,0.0002437999937683344,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_iterations,1,2.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_evaluations,1,7.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_terminal_gradient_l2,1,-2.0828774886456324e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_terminal_gradient_inf,1,-2.155954948884078e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_relative_gradient_l2,1,-3.58625866863894e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_objective_n_m,1,0.03922993661717964,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_surrogate_residual_n,1,-8.64811608648504e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_command_cosine_to_fixed_GFE,1,-0.0038103214630330617,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_field_cosine_to_fixed_GFE,1,-0.0008702409172953729,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_worst_displacement_a,1,0.5029265524325731,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_minimum_stiffness_n_m,1,-0.00013713627554686738,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_solve_wall_s,1,7.800001185387373e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_iterations,1,6.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_evaluations,1,7.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_terminal_gradient_l2,1,-3.081077045429053e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_terminal_gradient_inf,1,-6.280797920077364e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_relative_gradient_l2,1,-6.752878691160423e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_objective_n_m,1,-8.398282069776997e-13,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_surrogate_residual_n,1,1.1163743907051453e-12,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_command_cosine_to_fixed_GFE,1,-1.136502003618034e-11,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_field_cosine_to_fixed_GFE,1,-3.49265061316828e-12,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_worst_displacement_a,1,1.7155684938763294e-06,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_minimum_stiffness_n_m,1,-8.507501218259217e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-10,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_solve_wall_s,1,0.000410699998610653,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_iterations,1,3.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_evaluations,1,3.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_terminal_gradient_l2,1,-2.983413465742201e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_terminal_gradient_inf,1,-5.4550439241875906e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_relative_gradient_l2,1,-6.538826820192703e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_objective_n_m,1,-8.362269210415718e-13,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_surrogate_residual_n,1,2.7954313727845416e-13,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_command_cosine_to_fixed_GFE,1,-1.0820122575694313e-11,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_field_cosine_to_fixed_GFE,1,-3.3992808567973043e-12,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_worst_displacement_a,1,9.988891139373068e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_minimum_stiffness_n_m,1,-5.241631780093098e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-09,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_solve_wall_s,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_iterations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_evaluations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_terminal_gradient_l2,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_terminal_gradient_inf,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_relative_gradient_l2,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_objective_n_m,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_surrogate_residual_n,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_command_cosine_to_fixed_GFE,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_field_cosine_to_fixed_GFE,1,-6.661338147750939e-16,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_worst_displacement_a,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_minimum_stiffness_n_m,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-08,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_solve_wall_s,1,0.001094899998861365,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_iterations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_evaluations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_terminal_gradient_l2,1,6.854951321211245e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_terminal_gradient_inf,1,5.761150810723542e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_relative_gradient_l2,1,0.00015024179539626942,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_objective_n_m,1,2.2204481309184843e-11,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_surrogate_residual_n,1,-2.8391494147766034e-11,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_command_cosine_to_fixed_GFE,1,-4.053112290236527e-10,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_field_cosine_to_fixed_GFE,1,-1.0606382438993478e-10,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_worst_displacement_a,1,-2.600237826924645e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_minimum_stiffness_n_m,1,1.19907323294869e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-07,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_solve_wall_s,1,-0.001969199991435744,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_iterations,1,-14.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_evaluations,1,-14.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_terminal_gradient_l2,1,2.96397784240883e-06,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_terminal_gradient_inf,1,6.720929638138124e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_relative_gradient_l2,1,0.006496229246447491,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_objective_n_m,1,9.371258687593254e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_surrogate_residual_n,1,4.5771119244303785e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_command_cosine_to_fixed_GFE,1,-1.0482457347027463e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_field_cosine_to_fixed_GFE,1,-2.701656521830742e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_worst_displacement_a,1,0.003361692870915728,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_minimum_stiffness_n_m,1,-1.201147489835212e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,gtol,1e-06,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_solve_wall_s,1,0.00020580001000780612,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_iterations,1,-2.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_evaluations,1,2.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_terminal_gradient_l2,1,-1.6312776063149324e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_terminal_gradient_inf,1,6.582996283263637e-10,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_relative_gradient_l2,1,-3.5631956943793803e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_objective_n_m,1,-0.00816396936033214,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_surrogate_residual_n,1,4.274039230091281e-07,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_command_cosine_to_fixed_GFE,1,-0.01413606262967515,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_field_cosine_to_fixed_GFE,1,-0.0001624306443580581,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_worst_displacement_a,1,0.0394249295929875,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_minimum_stiffness_n_m,1,-8.565705271702589e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.25,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_solve_wall_s,1,-0.00036890000046696514,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_iterations,1,-4.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_evaluations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_terminal_gradient_l2,1,-1.6782860043960888e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_terminal_gradient_inf,1,1.8677041717775105e-09,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_relative_gradient_l2,1,-3.5260964068250284e-05,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_objective_n_m,1,-0.002620560983157681,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_surrogate_residual_n,1,1.7290793837224077e-08,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_command_cosine_to_fixed_GFE,1,-0.005070806100180625,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_field_cosine_to_fixed_GFE,1,-0.00013781762532627528,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_worst_displacement_a,1,-0.006201195828844888,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_minimum_stiffness_n_m,1,-0.00010544326493986539,,,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,stencil_factor,0.5,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
