task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_terminal_gradient_l2,1,68.25019875312472,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_terminal_gradient_inf,1,14.264583282004025,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_relative_gradient_l2,1,0.9808025350093575,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_objective_n_m,1,-56.33482046690058,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_surrogate_residual_n,1,4.543830253093485e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_command_cosine_to_fixed_GFE,1,-0.011455628568874388,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_field_cosine_to_fixed_GFE,1,-0.0020122004805631644,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_worst_displacement_a,1,0.20280081131612918,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_minimum_stiffness_n_m,1,-0.0002021513437563665,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_solve_wall_s,1,69.2495584999997,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_iterations,1,7948.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_evaluations,1,9625.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_terminal_gradient_l2,1,205.1192152675383,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_terminal_gradient_inf,1,47.08010267243224,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_relative_gradient_l2,1,0.9835093583858844,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_objective_n_m,1,-55.96017520357829,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_surrogate_residual_n,1,-7.983110903973015e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_command_cosine_to_fixed_GFE,1,-0.020386080429231623,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_field_cosine_to_fixed_GFE,1,-0.0012512210956501235,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_worst_displacement_a,1,0.2849157624633291,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_minimum_stiffness_n_m,1,-0.00026092007971452967,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_solve_wall_s,1,45.73928059999889,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_iterations,1,5501.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_evaluations,1,6899.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_terminal_gradient_l2,1,676.9975485732697,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_terminal_gradient_inf,1,145.25568976685906,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_relative_gradient_l2,1,0.9741460471704628,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_objective_n_m,1,-54.943496937469185,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_surrogate_residual_n,1,1.6202339695565047e-06,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_command_cosine_to_fixed_GFE,1,-0.02602880363767024,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_field_cosine_to_fixed_GFE,1,-0.005408081008307919,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_worst_displacement_a,1,0.1188806776649805,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_minimum_stiffness_n_m,1,-0.00029809437855232365,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_solve_wall_s,1,22.300240299999132,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_iterations,1,2338.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_evaluations,1,3427.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_terminal_gradient_l2,1,2107.92417837491,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_terminal_gradient_inf,1,469.5516250013201,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_relative_gradient_l2,1,1.0111434265890757,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_objective_n_m,1,-50.07546526813567,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_surrogate_residual_n,1,8.066737057680389e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_command_cosine_to_fixed_GFE,1,-0.07023654493743647,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_field_cosine_to_fixed_GFE,1,-0.009646363201649244,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_worst_displacement_a,1,0.6920295585236523,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_minimum_stiffness_n_m,1,-0.0005925701283719337,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,3.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_solve_wall_s,1,13.050122100001317,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_iterations,1,1225.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_evaluations,1,2183.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_terminal_gradient_l2,1,6913.696779488213,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_terminal_gradient_inf,1,1547.2167091508263,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_relative_gradient_l2,1,0.9949544560527108,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_objective_n_m,1,-41.747004679749146,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_surrogate_residual_n,1,-2.1652069864236806e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_command_cosine_to_fixed_GFE,1,-0.152476336478384,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_field_cosine_to_fixed_GFE,1,-0.02627269273064392,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_worst_displacement_a,1,1.2563265934256653,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_minimum_stiffness_n_m,1,-0.0008828757740096788,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,10.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_solve_wall_s,1,7.076446800012491,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_iterations,1,582.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_evaluations,1,1223.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_terminal_gradient_l2,1,20812.750404064234,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_terminal_gradient_inf,1,4621.592576104257,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_relative_gradient_l2,1,0.9984016389565705,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_objective_n_m,1,-23.194136952474437,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_surrogate_residual_n,1,1.0583187351347246e-06,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_command_cosine_to_fixed_GFE,1,-0.38068723329274834,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_field_cosine_to_fixed_GFE,1,-0.10252585214475574,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_worst_displacement_a,1,3.9264709440010366,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_minimum_stiffness_n_m,1,-0.0016938455239531181,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,30.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_solve_wall_s,1,-0.00018009998893830925,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_iterations,1,2.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_evaluations,1,3.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_terminal_gradient_l2,1,-5.407430551064536e-10,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_terminal_gradient_inf,1,3.5640572246189255e-09,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_relative_gradient_l2,1,-1.2422511032649436e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_objective_n_m,1,-1.51545990728294e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_surrogate_residual_n,1,-1.0775897123776647e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_command_cosine_to_fixed_GFE,1,-1.7159265766064635e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_field_cosine_to_fixed_GFE,1,-1.0062562816326448e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_worst_displacement_a,1,0.02814077576600358,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_minimum_stiffness_n_m,1,-9.88582588843474e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.01,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_solve_wall_s,1,9.050000517163426e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_iterations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_evaluations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_terminal_gradient_l2,1,-1.5958712780100558e-08,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_terminal_gradient_inf,1,-1.1117225857746486e-09,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_relative_gradient_l2,1,-3.5004398910796416e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_objective_n_m,1,-1.5069960722625952e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_surrogate_residual_n,1,-1.0783443470011276e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_command_cosine_to_fixed_GFE,1,-1.6453996927179304e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_field_cosine_to_fixed_GFE,1,-9.649947172452045e-07,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_worst_displacement_a,1,0.027595556501359482,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_minimum_stiffness_n_m,1,-9.06297810339407e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.03,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_solve_wall_s,1,0.004666799999540672,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_iterations,1,1.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_evaluations,1,4.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_terminal_gradient_l2,1,-1.7293411471392655e-08,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_terminal_gradient_inf,1,-7.270893149138704e-11,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_relative_gradient_l2,1,-3.792434079110989e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_objective_n_m,1,-1.4774888935316366e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_surrogate_residual_n,1,-1.0809349703170998e-06,,,20260908,10000,paired seed; targets nested inside command
