archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D35p00_IB_R0p95,opposed,35.0,IB,0.95,1,6.75999908708036e-05,256,512,True
opposed_D35p00_IB_R1p00,opposed,35.0,IB,1.0,1,6.520000169984996e-05,256,512,True
opposed_D35p00_IB_R1p05,opposed,35.0,IB,1.05,1,6.790000770706683e-05,256,512,True
opposed_D35p00_IB_R1p10,opposed,35.0,IB,1.1,1,6.250001024454832e-05,256,512,True
opposed_D35p00_IB_R1p15,opposed,35.0,IB,1.15,1,6.340000254567713e-05,256,512,True
opposed_D35p00_IB_R1p20,opposed,35.0,IB,1.2,1,9.880001016426831e-05,256,512,True
opposed_D35p00_IB_R1p25,opposed,35.0,IB,1.25,1,0.0001143999979831,256,512,True
opposed_D35p00_IB_R1p30,opposed,35.0,IB,1.3,1,8.47000046633184e-05,256,512,True
opposed_D35p00_IB_R1p35,opposed,35.0,IB,1.35,1,7.029999687802047e-05,256,512,True
opposed_D35p00_IB_R1p40,opposed,35.0,IB,1.4,1,6.769999163225293e-05,256,512,True
opposed_D35p00_IB_R1p45,opposed,35.0,IB,1.45,1,6.829999620094895e-05,256,512,True
opposed_D35p00_IB_R1p50,opposed,35.0,IB,1.5,1,6.500000017695129e-05,256,512,True
opposed_D35p00_IB_R1p55,opposed,35.0,IB,1.55,1,6.78000069456175e-05,256,512,True
opposed_D35p00_IB_R1p60,opposed,35.0,IB,1.6,1,7.599999662488699e-05,256,512,True
opposed_D35p00_IB_R1p65,opposed,35.0,IB,1.65,1,6.839999696239829e-05,256,512,True
opposed_D35p00_IB_R1p70,opposed,35.0,IB,1.7,1,7.110000296961516e-05,256,512,True
opposed_D35p00_IB_R1p75,opposed,35.0,IB,1.75,1,6.550000398419797e-05,256,512,True
opposed_D35p00_IB_R1p80,opposed,35.0,IB,1.8,1,6.78999931551516e-05,256,512,True
opposed_D35p00_IB_R1p85,opposed,35.0,IB,1.85,1,7.09999876562506e-05,256,512,True
opposed_D35p00_IB_R1p90,opposed,35.0,IB,1.9,1,6.569999095518142e-05,256,512,True
opposed_D35p00_IB_R1p95,opposed,35.0,IB,1.95,1,6.560000474564731e-05,256,512,True
opposed_D35p00_IB_R2p00,opposed,35.0,IB,2.0,1,6.310000026132911e-05,256,512,True
opposed_D35p00_IB_R2p05,opposed,35.0,IB,2.05,1,7.110000296961516e-05,256,512,True
opposed_D35p00_IB_R2p10,opposed,35.0,IB,2.1,1,6.939999002497643e-05,256,512,True
opposed_D35p00_IB_R2p15,opposed,35.0,IB,2.15,1,6.630001007579267e-05,256,512,True
opposed_D35p00_IB_R2p20,opposed,35.0,IB,2.2,1,7.340000593103468e-05,256,512,True
opposed_D40p00_IB_R0p80,opposed,40.0,IB,0.8,1,0.0001038999907905,256,512,True
opposed_D40p00_IB_R0p85,opposed,40.0,IB,0.85,1,7.510000432375818e-05,256,512,True
opposed_D40p00_IB_R0p90,opposed,40.0,IB,0.9,1,7.99000117694959e-05,256,512,True
opposed_D40p00_IB_R0p95,opposed,40.0,IB,0.95,1,7.110000296961516e-05,256,512,True
opposed_D40p00_IB_R1p00,opposed,40.0,IB,1.0,1,6.400000711437315e-05,256,512,True
opposed_D40p00_IB_R1p05,opposed,40.0,IB,1.05,1,7.049999840091914e-05,256,512,True
opposed_D40p00_IB_R1p10,opposed,40.0,IB,1.1,1,6.36000040685758e-05,256,512,True
opposed_D40p00_IB_R1p15,opposed,40.0,IB,1.15,1,6.220000796020031e-05,256,512,True
opposed_D40p00_IB_R1p20,opposed,40.0,IB,1.2,1,7.03999976394698e-05,256,512,True
opposed_D40p00_IB_R1p25,opposed,40.0,IB,1.25,1,6.359998951666057e-05,256,512,True
opposed_D40p00_IB_R1p30,opposed,40.0,IB,1.3,1,6.200000643730164e-05,256,512,True
opposed_D40p00_IB_R1p35,opposed,40.0,IB,1.35,1,7.389999518636614e-05,256,512,True
opposed_D40p00_IB_R1p40,opposed,40.0,IB,1.4,1,6.720000237692147e-05,256,512,True
opposed_D40p00_IB_R1p45,opposed,40.0,IB,1.45,1,0.0001098000066122,256,512,True
opposed_D40p00_IB_R1p50,opposed,40.0,IB,1.5,1,7.350000669248402e-05,256,512,True
opposed_D40p00_IB_R1p55,opposed,40.0,IB,1.55,1,7.480000203941017e-05,256,512,True
opposed_D40p00_IB_R1p60,opposed,40.0,IB,1.6,1,7.769999501761049e-05,256,512,True
