archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D45p00_GS_R1p05,opposed,45.0,GS,1.05,100,0.0007226000016089,256,512,True
opposed_D45p00_GS_R1p10,opposed,45.0,GS,1.1,100,0.0005782000080216,256,512,True
opposed_D45p00_GS_R1p15,opposed,45.0,GS,1.15,100,0.0005616999987978,256,512,True
opposed_D45p00_GS_R1p20,opposed,45.0,GS,1.2,100,0.000560200001928,256,512,True
opposed_D45p00_GS_R1p25,opposed,45.0,GS,1.25,100,0.0005908999883104,256,512,True
opposed_D45p00_GS_R1p30,opposed,45.0,GS,1.3,100,0.0007318999996641,256,512,True
opposed_D45p00_GS_R1p35,opposed,45.0,GS,1.35,100,0.0005591999943135,256,512,True
opposed_D45p00_GS_R1p40,opposed,45.0,GS,1.4,100,0.000557999999728,256,512,True
opposed_D45p00_GS_R1p45,opposed,45.0,GS,1.45,100,0.0005667000077664,256,512,True
opposed_D45p00_GS_R1p50,opposed,45.0,GS,1.5,100,0.0005684000061592,256,512,True
opposed_D45p00_GS_R1p55,opposed,45.0,GS,1.55,100,0.0006041000015102,256,512,True
opposed_D45p00_GS_R1p60,opposed,45.0,GS,1.6,100,0.0005559999990509,256,512,True
opposed_D45p00_GS_R1p65,opposed,45.0,GS,1.65,100,0.0005623000033665,256,512,True
opposed_D45p00_GS_R1p70,opposed,45.0,GS,1.7,100,0.0005989999917801,256,512,True
opposed_D45p00_GS_R1p75,opposed,45.0,GS,1.75,100,0.0005649999948218,256,512,True
opposed_D45p00_GS_R1p80,opposed,45.0,GS,1.8,100,0.0006285999988904,256,512,True
opposed_D45p00_GS_R1p85,opposed,45.0,GS,1.85,100,0.0005740000051446,256,512,True
opposed_D45p00_GS_R1p90,opposed,45.0,GS,1.9,100,0.0005798000056529,256,512,True
opposed_D45p00_GS_R1p95,opposed,45.0,GS,1.95,100,0.0005781000072602,256,512,True
opposed_D45p00_GS_R2p00,opposed,45.0,GS,2.0,100,0.0005701999907614,256,512,True
opposed_D45p00_GS_R2p05,opposed,45.0,GS,2.05,100,0.0006394000083673,256,512,True
opposed_D45p00_GS_R2p10,opposed,45.0,GS,2.1,100,0.0005708999960916,256,512,True
opposed_D45p00_GS_R2p15,opposed,45.0,GS,2.15,100,0.0006143000064184,256,512,True
opposed_D45p00_GS_R2p20,opposed,45.0,GS,2.2,100,0.0006186999962665,256,512,True
single_IB_R0p35,single,,IB,0.35,1,0.0001951000012923,256,256,False
single_IB_R0p40,single,,IB,0.4,1,0.0001196000084746,256,256,False
single_IB_R0p45,single,,IB,0.45,1,9.57000011112541e-05,256,256,False
single_IB_R0p50,single,,IB,0.5,1,0.0001191000046674,256,256,False
single_IB_R0p55,single,,IB,0.55,1,9.500001033302397e-05,256,256,False
single_IB_R0p60,single,,IB,0.6,1,0.0001022999931592,256,256,False
single_IB_R0p70,single,,IB,0.7,1,9.689999569673093e-05,256,256,False
single_IB_R0p90,single,,IB,0.9,1,0.0001011999993352,256,256,False
single_IB_R1p10,single,,IB,1.1,1,0.000110200009658,256,256,False
single_IB_R1p40,single,,IB,1.4,1,0.0001013000000966,256,256,False
single_GS_R0p35,single,,GS,0.35,100,0.0006946000066818,256,256,False
single_GS_R0p40,single,,GS,0.4,100,0.0006146000087028,256,256,False
single_GS_R0p45,single,,GS,0.45,100,0.0006070999952498,256,256,False
single_GS_R0p50,single,,GS,0.5,100,0.0005972000071778,256,256,False
single_GS_R0p55,single,,GS,0.55,100,0.000601399995503,256,256,False
single_GS_R0p60,single,,GS,0.6,100,0.0005975999956717,256,256,False
single_GS_R0p70,single,,GS,0.7,100,0.0005966000026091,256,256,False
single_GS_R0p90,single,,GS,0.9,100,0.000609800001257,256,256,False
single_GS_R1p10,single,,GS,1.1,100,0.0006616000027861,256,256,False
single_GS_R1p40,single,,GS,1.4,100,0.0007627000013599,256,256,False
