method,radius_mm,normalized_pressure
Historical FE,0.0,2.130371048623269e-06
Historical FE,0.07500000000000001,0.03339788748257054
Historical FE,0.15000000000000002,0.06675375480478023
Historical FE,0.22500000000000003,0.1000320093876538
Historical FE,0.30000000000000004,0.13319446527226864
Historical FE,0.375,0.16620124656546714
Historical FE,0.45000000000000007,0.1990131258420369
Historical FE,0.525,0.23158493421542384
Historical FE,0.6000000000000001,0.26388551728198456
Historical FE,0.675,0.2958803143356096
Historical FE,0.75,0.3275337946221439
Historical FE,0.8250000000000001,0.35881032812916036
Historical FE,0.9000000000000001,0.3896777644715115
Historical FE,0.9750000000000001,0.42010274317741836
Historical FE,1.05,0.4500485859470422
Historical FE,1.1250000000000002,0.4794783612316112
Historical FE,1.2000000000000002,0.5083573079623951
Historical FE,1.2750000000000001,0.536654122529827
Historical FE,1.35,0.5643396470748769
Historical FE,1.425,0.5913841177291946
Historical FE,1.5,0.6177539507982441
Historical FE,1.5750000000000002,0.6433967947777725
Historical FE,1.6500000000000001,0.6682986224447472
Historical FE,1.725,0.692439749829437
Historical FE,1.8000000000000003,0.7157961622808877
Historical FE,1.8750000000000002,0.7383463478929425
Historical FE,1.9500000000000002,0.7600682912982386
Historical FE,2.0250000000000004,0.780941240381145
Historical FE,2.1,0.8009454019526291
Historical FE,2.1750000000000003,0.8200626756791776
Historical FE,2.2500000000000004,0.8382754113044049
Historical FE,2.325,0.8555676387362876
Historical FE,2.4000000000000004,0.8719251158383401
Historical FE,2.475,0.8873344574924431
Historical FE,2.5500000000000003,0.9017838375188241
Historical FE,2.625,0.9152646306330053
Historical FE,2.7,0.9277689472015433
Historical FE,2.775,0.9392845729930208
Historical FE,2.85,0.9498050462842441
Historical FE,2.9250000000000003,0.9593252107781748
Historical FE,3.0,0.9678408051386931
Historical FE,3.0750000000000006,0.9753526924248748
Historical FE,3.1500000000000004,0.9818605970254054
Historical FE,3.2250000000000005,0.9873611956058015
Historical FE,3.3000000000000003,0.9918655319858316
Historical FE,3.3750000000000004,0.9953773261984652
Historical FE,3.45,0.9979022678205165
Historical FE,3.5250000000000004,0.999441753963517
Historical FE,3.6000000000000005,1.0
Historical FE,3.6750000000000003,0.9995844970369406
Historical FE,3.7500000000000004,0.9982053663485106
Historical FE,3.825,0.9958690927565914
Historical FE,3.9000000000000004,0.9925916040293592
Historical FE,3.975,0.9883787541486462
Historical FE,4.050000000000001,0.9832465563726269
Historical FE,4.125,0.9772128403594442
Historical FE,4.2,0.9702895524156819
Historical FE,4.275,0.9624950210884224
Historical FE,4.3500000000000005,0.953854084183642
Historical FE,4.425,0.9443818058240566
Historical FE,4.500000000000001,0.9340908488043227
Historical FE,4.575,0.9230070887380313
Historical FE,4.65,0.91115842771102
Historical FE,4.725,0.898567238161335
Historical FE,4.800000000000001,0.8852560893154624
Historical FE,4.875000000000001,0.8712464424993169
Historical FE,4.95,0.8565666679143894
Historical FE,5.025000000000001,0.8412499381955036
Historical FE,5.1000000000000005,0.8253233290074016
Historical FE,5.175000000000001,0.8088159394341117
Historical FE,5.25,0.7917552599117281
Historical FE,5.325000000000001,0.7741683333740189
Historical FE,5.4,0.7560792152793469
Historical FE,5.4750000000000005,0.7375229808110079
Historical FE,5.55,0.7185352489028877
Historical FE,5.625000000000001,0.6991467096915704
Historical FE,5.7,0.6793874382277257
Historical FE,5.775,0.6592901028262278
Historical FE,5.8500000000000005,0.6388915931007454
Historical FE,5.925000000000001,0.6182179232627888
Historical FE,6.0,0.5973047878450326
Historical FE,6.075,0.5761880246572644
Historical FE,6.150000000000001,0.5548992915360655
Historical FE,6.2250000000000005,0.5334695683243684
Historical FE,6.300000000000001,0.5119353126110453
Historical FE,6.375000000000001,0.4903293225185233
Historical FE,6.450000000000001,0.4686818512636846
Historical FE,6.525,0.44703930577284245
Historical FE,6.6000000000000005,0.4254320648453838
Historical FE,6.675000000000001,0.40389221432131067
Historical FE,6.750000000000001,0.38245119023078333
Historical FE,6.825,0.3611386882102959
Historical FE,6.9,0.33999030115826767
Historical FE,6.9750000000000005,0.31903954907696275
Historical FE,7.050000000000001,0.29832420477087135
Historical FE,7.125,0.2778769134163575
Historical FE,7.200000000000001,0.25773730089438096
Historical FE,7.275000000000001,0.23793984562671533
Historical FE,7.3500000000000005,0.21852119799500203
Historical FE,7.425000000000001,0.1995346061800652
Historical FE,7.500000000000001,0.18102900957892828
Historical FE,7.575000000000001,0.16307137816285536
Historical FE,7.65,0.14573596230378993
Historical FE,7.7250000000000005,0.12912027747028276
Historical FE,7.800000000000001,0.11335641446234344
Historical FE,7.875,0.0986269844105434
Historical FE,7.95,0.08521510858415078
Historical FE,8.025,0.07357385761623593
Historical FE,8.100000000000001,0.06473571973772488
Historical FE,8.175,0.059673241901397105
Historical FE,8.25,0.05741722501421683
Historical FE,8.325000000000001,0.05803011863903686
Historical FE,8.4,0.0625261819465568
Historical FE,8.475000000000001,0.06980274010375129
Historical FE,8.55,0.07822831280588838
Historical FE,8.625,0.08715693941133286
Historical FE,8.700000000000001,0.09623040217477492
Historical FE,8.775000000000002,0.10522498344454889
Historical FE,8.85,0.11399142573891446
Historical FE,8.925,0.12243011974362124
Historical FE,9.000000000000002,0.13047389535063406
Historical FE,9.075000000000001,0.13807072345677807
Historical FE,9.15,0.14518074890761803
Historical FE,9.225000000000001,0.1517760848044895
Historical FE,9.3,0.15783472535077342
Historical FE,9.375000000000002,0.16334257665163382
Historical FE,9.45,0.16829290184082152
Historical FE,9.525,0.17268105918885265
Historical FE,9.600000000000001,0.17650313820740732
Historical FE,9.675,0.17975967827210804
Historical FE,9.750000000000002,0.18244834205495253
Historical FE,9.825000000000001,0.1845722574116314
Historical FE,9.9,0.18613889270991316
Historical FE,9.975000000000001,0.18715650120943766
Historical FE,10.050000000000002,0.1876349048833583
Historical FE,10.125,0.18758263577934858
Historical FE,10.200000000000001,0.18700710192423728
Historical FE,10.275,0.1859243682211826
Historical FE,10.350000000000001,0.1843430879022923
Historical FE,10.425,0.18227908955756228
Historical FE,10.5,0.17974632262451323
Historical FE,10.575000000000001,0.17675942225433267
Historical FE,10.650000000000002,0.1733342611777865
Historical FE,10.725,0.16948648396856247
Historical FE,10.8,0.16523192707456766
Historical FE,10.875000000000002,0.16058975570710768
Historical FE,10.950000000000001,0.15558086139487382
Historical FE,11.025000000000002,0.1502225872116138
Historical FE,11.1,0.1445336669648254
Historical FE,11.175,0.13853346161845398
Historical FE,11.250000000000002,0.13224422800568653
Historical FE,11.325000000000001,0.1256879257747703
Historical FE,11.4,0.11888845516542207
Historical FE,11.475000000000001,0.1118715012485965
Historical FE,11.55,0.10466182970004075
Historical FE,11.625000000000002,0.09728927335651477
Historical FE,11.700000000000001,0.08978620782812147
Historical FE,11.775,0.08219160367382071
Historical FE,11.850000000000001,0.0745513400331266
Historical FE,11.925,0.0669312691154777
Historical FE,12.0,0.059448138114641474
GS R=1.40 lambda,0.0,1.142262808800386e-15
GS R=1.40 lambda,0.07500000000000001,0.029684195141928906
GS R=1.40 lambda,0.15000000000000002,0.059393564280796916
GS R=1.40 lambda,0.22500000000000003,0.0890540334073732
GS R=1.40 lambda,0.30000000000000004,0.11863847994415133
GS R=1.40 lambda,0.375,0.14811933108682698
GS R=1.40 lambda,0.45000000000000007,0.17746859928761965
GS R=1.40 lambda,0.525,0.20668799592479004
GS R=1.40 lambda,0.6000000000000001,0.23573219067570214
GS R=1.40 lambda,0.675,0.2645681644948291
GS R=1.40 lambda,0.75,0.2931675467288987
GS R=1.40 lambda,0.8250000000000001,0.32150412637397313
GS R=1.40 lambda,0.9000000000000001,0.34954610708758443
GS R=1.40 lambda,0.9750000000000001,0.37727645543152977
GS R=1.40 lambda,1.05,0.40467321417599766
GS R=1.40 lambda,1.1250000000000002,0.43169480852168257
GS R=1.40 lambda,1.2000000000000002,0.45827590023426734
GS R=1.40 lambda,1.2750000000000001,0.4844201058464673
GS R=1.40 lambda,1.35,0.5101187733796915
GS R=1.40 lambda,1.425,0.5353507758492525
GS R=1.40 lambda,1.5,0.5601091721136893
GS R=1.40 lambda,1.5750000000000002,0.584424598026277
GS R=1.40 lambda,1.6500000000000001,0.6082480051495317
GS R=1.40 lambda,1.725,0.6315510483816879
GS R=1.40 lambda,1.8000000000000003,0.6543089421379615
GS R=1.40 lambda,1.8750000000000002,0.6764993716791431
GS R=1.40 lambda,1.9500000000000002,0.6980966977148393
GS R=1.40 lambda,2.0250000000000004,0.7190827332537726
GS R=1.40 lambda,2.1,0.7394407798954672
GS R=1.40 lambda,2.1750000000000003,0.7591454521198056
GS R=1.40 lambda,2.2500000000000004,0.7781839641917717
GS R=1.40 lambda,2.325,0.7965390738641613
GS R=1.40 lambda,2.4000000000000004,0.8141893835919397
GS R=1.40 lambda,2.475,0.8311165152547838
GS R=1.40 lambda,2.5500000000000003,0.8473036912598678
GS R=1.40 lambda,2.625,0.8627385476986562
GS R=1.40 lambda,2.7,0.8774124528655664
GS R=1.40 lambda,2.775,0.8913115533225555
GS R=1.40 lambda,2.85,0.9044163206408854
GS R=1.40 lambda,2.9250000000000003,0.9167160413511067
GS R=1.40 lambda,3.0,0.9281995249845387
GS R=1.40 lambda,3.0750000000000006,0.9388580342242948
GS R=1.40 lambda,3.1500000000000004,0.9486814892036421
GS R=1.40 lambda,3.2250000000000005,0.9576671294726248
GS R=1.40 lambda,3.3000000000000003,0.9658461201369514
GS R=1.40 lambda,3.3750000000000004,0.9731891577722624
