requested,method,eta,metric,n_pairs,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Bottle,Conventional,0.1,command_cosine_fixed_FE,1,0.7707240178902394,0.7707240178902394,0.7707240178902394,0.7707240178902394,0.7707240178902394,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.1,xz_amplitude_cosine_fixed_FE,1,0.919086017034001,0.919086017034001,0.919086017034001,0.919086017034001,0.919086017034001,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,1.0,iterations,1,4839.0,4839.0,4839.0,4839.0,4839.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,1.0,gradient_l2,1,660.859210487824,660.859210487824,660.859210487824,660.859210487824,660.859210487824,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,1.0,gradient_inf,1,156.8436443697869,156.8436443697869,156.8436443697869,156.8436443697869,156.8436443697869,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,1.0,command_cosine_fixed_FE,1,0.023609078912672245,0.023609078912672245,0.023609078912672245,0.023609078912672245,0.023609078912672245,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,1.0,xz_amplitude_cosine_fixed_FE,1,0.7825906586372607,0.7825906586372607,0.7825906586372607,0.7825906586372607,0.7825906586372607,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.0001,iterations,1,59.0,59.0,59.0,59.0,59.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.0001,gradient_l2,1,1.951011918895597e-08,1.951011918895597e-08,1.951011918895597e-08,1.951011918895597e-08,1.951011918895597e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.0001,gradient_inf,1,7.327151815213984e-09,7.327151815213984e-09,7.327151815213984e-09,7.327151815213984e-09,7.327151815213984e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.0001,command_cosine_fixed_FE,1,0.9962217486258653,0.9962217486258653,0.9962217486258653,0.9962217486258653,0.9962217486258653,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.0001,xz_amplitude_cosine_fixed_FE,1,0.9982882442518785,0.9982882442518785,0.9982882442518785,0.9982882442518785,0.9982882442518785,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.001,iterations,1,66.0,66.0,66.0,66.0,66.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.001,gradient_l2,1,2.092731328787384e-08,2.092731328787384e-08,2.092731328787384e-08,2.092731328787384e-08,2.092731328787384e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.001,gradient_inf,1,9.084381256485e-09,9.084381256485e-09,9.084381256485e-09,9.084381256485e-09,9.084381256485e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.001,command_cosine_fixed_FE,1,0.9969077104342059,0.9969077104342059,0.9969077104342059,0.9969077104342059,0.9969077104342059,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.001,xz_amplitude_cosine_fixed_FE,1,0.9985932792335006,0.9985932792335006,0.9985932792335006,0.9985932792335006,0.9985932792335006,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
