method,optimizer,n,native_stops_met,locally_restoring,time_to_return_s,evaluations,iterations,field_cosine,displacement_a,displacement_m,gradient_inf
Conventional,Adam,3,0,0,21.72023069999705,10001.0,10000.0,0.7073216168103666,,,154.2018970552931
Conventional,BFGS,3,0,3,34.7338419000007,8018.0,6385.0,0.994591918991692,0.1637344750973513,0.00010642740881327834,151.2639511000687
Conventional,L-BFGS-B,3,0,0,0.2424736000102711,110.0,49.0,0.3669112626653216,,,155.71639826838657
FE,L-BFGS-B,3,3,3,0.0037847999919904,44.0,37.0,0.9999999999946316,0.0448610413542822,2.9159676880283428e-05,4.990261600407118e-09
GFE,L-BFGS-B,3,3,3,0.0032672000088496,39.0,34.0,1.0,0.0448552963389466,2.915594262031529e-05,6.320541914298822e-09
