task,target_index,fraction_of_common_section_maximum,pressure_contour_pa,common_section_maximum_pa
Single,1,0.2,1406.6195055853862,7033.0975279269305
Single,1,0.4,2813.2390111707723,7033.0975279269305
Single,1,0.6,4219.858516756158,7033.0975279269305
Single,1,0.8,5626.478022341545,7033.0975279269305
Triple,1,0.2,297.79435049980054,1488.9717524990026
Triple,1,0.4,595.5887009996011,1488.9717524990026
Triple,1,0.6,893.3830514994015,1488.9717524990026
Triple,1,0.8,1191.1774019992022,1488.9717524990026
