case_id,levels,command_key,source_model,validator_model,source_strength_pa_m_peak,validation_workers,root_found,locally_restoring,absolute_target_error_um,root_residual_scaled,root_residual_n,on_search_boundary,stiffness_min_n_m,validation_wall_s,target_x_m,root_x_m,displacement_x_um,stiffness_eigenvalue_1_n_m,target_y_m,root_y_m,displacement_y_um,stiffness_eigenvalue_2_n_m,target_z_m,root_z_m,displacement_z_um,stiffness_eigenvalue_3_n_m,additional_equilibrium_shift_um,stiffness_retention_pct,additional_equilibrium_shift_m,absolute_target_error_m
X+0_Y+0_Z45,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,235.06100450835373,6.605460085393176e-12,7.36036693652814e-18,False,0.0014156176755985,11.02673079998931,0.0,3.0828328531020878e-12,3.082832853102088e-06,0.0014156176755985,0.0,-3.0684151191271037e-12,-3.0684151191271032e-06,0.0202573221424146,0.045,0.0447649389954916,-235.0610045083537,0.0202573229214935,0.0,100.0,0.0,0.0002350610045083537
X+0_Y+0_Z45,4,Xp0_Yp0_Z45__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,416.2620279576992,1.236531027851692e-11,1.3778483218022525e-17,False,0.0011575797221053,10.993688300004578,0.0,6.248076623638439e-16,6.248076623638438e-10,0.0011575797221053,0.0,-2.054756484739992e-16,-2.054756484739992e-10,0.0160815715705943,0.045,0.0445837379720423,-416.2620279576992,0.0163364618158899,181.2010234493456,81.77205908480754,0.0001812010234493456,0.0004162620279576992
X+0_Y+0_Z45,8,Xp0_Yp0_Z45__Q0008,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,265.4814428584216,7.0994862303398466e-12,7.910852997459276e-18,False,0.0013779337139361,10.643413199999486,0.0,1.0193462098130988e-16,1.019346209813099e-10,0.0013779337139361,0.0,7.083771335148749e-17,7.083771335148749e-11,0.0192415655634486,0.045,0.0447345185571415,-265.4814428584216,0.0192415655635622,30.420438350068117,97.3379845199784,3.0420438350068117e-05,0.00026548144285842157
X+0_Y+0_Z45,10,Xp0_Yp0_Z45__Q0010,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,265.3655936963595,1.6142227210897906e-11,1.798704615712559e-17,False,0.0013773534515988,10.355367699987257,0.0,1.8339513772379195e-16,1.8339513772379194e-10,0.0013773534515988,0.0,-4.721244348644125e-16,-4.721244348644124e-10,0.0190432796255587,0.045,0.0447346344063036,-265.3655936963595,0.0201640563544024,30.304589188006084,97.29699447391287,3.0304589188006082e-05,0.0002653655936963595
X+0_Y+0_Z45,16,Xp0_Yp0_Z45__Q0016,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,240.7209853815262,1.2196929240631542e-11,1.359085870618414e-17,False,0.0014152285532373,10.397549600005732,0.0,-1.4544130283180724e-16,-1.4544130283180722e-10,0.0014152285532373,0.0,2.2192676710421848e-16,2.2192676710421848e-10,0.0199940298488128,0.045,0.0447592790146184,-240.7209853815262,0.0200554328444431,5.659980873174159,99.97251218547032,5.659980873174159e-06,0.00024072098538152617
X+0_Y+0_Z45,32,Xp0_Yp0_Z45__Q0032,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,236.90467693607968,1.052946427716817e-11,1.1732827043554786e-17,False,0.0014113210221588,10.545097100010024,0.0,3.112839012714781e-16,3.1128390127147807e-10,0.0014113210221588,0.0,-3.127006749992786e-16,-3.1270067499927857e-10,0.0201732793584759,0.045,0.0447630953230639,-236.90467693607968,0.0202074472601327,1.843672427731114,99.69648207183587,1.843672427731114e-06,0.00023690467693607967
X+0_Y+0_Z45,128,Xp0_Yp0_Z45__Q0128,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,234.18614798298432,7.432982634705327e-12,8.282463131561932e-18,False,0.0014175814822147,10.913959700003034,0.0,1.351711269293815e-16,1.3517112692938152e-10,0.0014175814822147,0.0,-3.6867342154869253e-16,-3.686734215486925e-10,0.0202528247083894,0.045,0.044765813852017,-234.18614798298432,0.0202528247085192,0.8748565253802049,100.13872436393656,8.748565253802049e-07,0.00023418614798298432
X+0_Y+0_Z45,2048,Xp0_Yp0_Z45__Q2048,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,235.06871902553848,1.1848801996040063e-11,1.3202945642193045e-17,False,0.0014156190332179,10.408618099987509,0.0,2.457475351417109e-16,2.4574753514171086e-10,0.0014156190332179,0.0,2.3620269368430385e-17,2.3620269368430382e-11,0.0202573170292461,0.045,0.0447649312809744,-235.06871902553848,0.0202573170293011,0.0077145184108947,100.0000959029769,7.7145184108947e-09,0.00023506871902553847
X+10_Y+0_Z45,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,285.4682065821672,7.434983913141255e-12,8.284693126662979e-18,False,0.0013886773325205,10.78911959999823,0.01,0.0099862464094861,-13.75359051386006,0.0013886773325205,0.0,-2.2042099030457653e-07,-0.2204209903045765,0.019739819968624,0.045,0.0447148633886506,-285.13661134937223,0.0201340396647608,0.0,100.0,0.0,0.0002854682065821672
X+10_Y+0_Z45,4,Xp10_Yp0_Z45__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,474.4471719330159,8.965849436172079e-12,9.99051404365006e-18,False,0.0011251250921085,10.985819400011678,0.01,0.0099910900287815,-8.909971218452537,0.0011251250921085,0.0,-8.169493493638024e-06,-8.169493493638024,0.0156070104714146,0.045,0.0445257068514682,-474.2931485317709,0.0163150809454227,189.385437561546,81.02134785093415,0.000189385437561546,0.0004744471719330159
X+10_Y+0_Z45,8,Xp10_Yp0_Z45__Q0008,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,326.94781536861603,1.0919303350559351e-11,1.2167218984352418e-17,False,0.0013409355653455,10.51190850000421,0.01,0.0099966740600005,-3.325939999423988,0.0013409355653455,0.0,8.929091233518418e-06,8.929091233518418,0.0186918720865832,0.045,0.0446731910597502,-326.8089402497648,0.0191310800331734,43.92075210157039,96.56206909575202,4.3920752101570394e-05,0.000326947815368616
X+10_Y+0_Z45,10,Xp10_Yp0_Z45__Q0010,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,295.9633367411083,2.1471839252811792e-11,2.392575440010943e-17,False,0.0013511193615712,10.880919799994444,0.01,0.0099966019414637,-3.398058536266055,0.0013511193615712,0.0,8.684844732864732e-07,0.8684844732864733,0.0192072671474077,0.045,0.0447040574453921,-295.94255460787394,0.0194085177911722,15.006370892176728,97.29541412754888,1.5006370892176727e-05,0.0002959633367411083
X+10_Y+0_Z45,16,Xp10_Yp0_Z45__Q0016,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,289.80234359994336,9.903741127199098e-12,1.1035592948591898e-17,False,0.0013693282158127,10.568070099994657,0.01,0.0099843550604956,-15.644939504393108,0.0013693282158127,0.0,2.423506302957973e-06,2.423506302957973,0.0194671331489176,0.045,0.0447106304078844,-289.36959211555563,0.0199349825895459,5.337197645106234,98.60665136136272,5.337197645106233e-06,0.00028980234359994334
