task,levels,target_index,root_found,reference_root_found,method,phase_content_id,continuous_phase_content_id,source_command,target_x_m,target_y_m,target_z_m,root_x_m,root_y_m,root_z_m,continuous_root_x_m,continuous_root_y_m,continuous_root_z_m,search_candidate_x_m,search_candidate_y_m,search_candidate_z_m,added_shift_x_um,added_shift_y_um,added_shift_z_um,added_shift_3d_um,absolute_target_error_3d_um,added_shift_x_m,added_shift_y_m,added_shift_z_m,added_shift_3d_m,absolute_target_error_3d_m
Single,32,1,True,True,Nearest,000000000000080fbc9efde796a5f3e0,000000000000080f57f18575ab090e06,gfe_validated_commands\Single_Q32_nearest_T1.npz,0.0,0.0,0.05,-1.4726996974681369e-06,-2.028443183818239e-06,0.05010392662925128,8.013242371838875e-10,-5.665552264133127e-10,0.049970843984244444,-1.4726996974681369e-06,-2.028443183818239e-06,0.05010392662925128,-1.4735010217053206,-2.0278766285918257,133.08264500683924,133.1062503825352,103.95685496244086,-1.4735010217053205e-06,-2.0278766285918258e-06,0.00013308264500683922,0.00013310625038253518,0.00010395685496244086
Single,32,1,True,True,Elastic mechanics offset,000000000000080f7ed7ea8fd289f3a6,000000000000080f57f18575ab090e06,gfe_validated_commands\Single_Q32_offset_T1.npz,0.0,0.0,0.05,8.075113683811972e-17,-1.87706831384042e-16,0.049970885319016965,8.013242371838875e-10,-5.665552264133127e-10,0.049970843984244444,8.075113683811972e-17,-1.87706831384042e-16,0.049970885319016965,-0.0008013241564327507,0.0005665550387064813,0.04133477252143969,0.04134642093839238,29.114680983037545,-8.013241564327507e-10,5.665550387064813e-10,4.133477252143969e-08,4.134642093839238e-08,2.9114680983037544e-05
Triple,32,1,True,True,Nearest,000000000000080f24ea2cbdc7e7d294,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_nearest_T1.npz,0.0,0.010066666666666666,0.03,1.1663367144140981e-05,0.010077214184199691,0.030165635836826077,-1.1088664914823185e-05,0.01008449504117639,0.03029693820663654,1.1663367144140981e-05,0.010077214184199691,0.030165635836826077,22.75203205896417,-7.280856976698072,-131.30236981046332,133.45777668974907,166.3806319867899,2.275203205896417e-05,-7.280856976698071e-06,-0.0001313023698104633,0.00013345777668974905,0.00016638063198678988
Triple,32,2,True,True,Nearest,000000000000080f24ea2cbdc7e7d294,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_nearest_T2.npz,-0.0088,-0.007533333333333333,0.03,-0.0087883657840731,-0.007530615007483967,0.030164676489327386,-0.008786916451866094,-0.007564658935794745,0.030226920939471432,-0.0087883657840731,-0.007530615007483967,0.030164676489327386,-1.4493322070055492,34.04392831077817,-62.24445014404653,70.96098359246695,165.1093286669472,-1.4493322070055492e-06,3.404392831077817e-05,-6.224445014404653e-05,7.096098359246694e-05,0.00016510932866694718
Triple,32,3,True,True,Nearest,000000000000080f24ea2cbdc7e7d294,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_nearest_T3.npz,0.0088,-0.007533333333333333,0.03,0.008811721577929274,-0.007530697303545535,0.030203803406352182,0.008809821720495783,-0.007540810024679314,0.030190779254735962,0.008811721577929274,-0.007530697303545535,0.030203803406352182,1.8998574334901792,10.112721133779049,13.024151616219948,16.598346674276144,204.15722490998795,1.899857433490179e-06,1.0112721133779048e-05,1.3024151616219948e-05,1.6598346674276142e-05,0.00020415722490998794
Triple,32,1,True,True,Elastic mechanics offset,000000000000080f47c78e583e66c2a9,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_offset_T1.npz,0.0,0.010066666666666666,0.03,-1.4221008922430638e-05,0.010083396981525928,0.030312174996830386,-1.1088664914823185e-05,0.01008449504117639,0.03029693820663654,-1.4221008922430638e-05,0.010083396981525928,0.030312174996830386,-3.1323440076074527,-1.0980596504613778,15.23679019384619,15.594136378435742,312.94627202782635,-3.1323440076074524e-06,-1.0980596504613777e-06,1.523679019384619e-05,1.5594136378435742e-05,0.00031294627202782635
Triple,32,2,True,True,Elastic mechanics offset,000000000000080f47c78e583e66c2a9,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_offset_T2.npz,-0.0088,-0.007533333333333333,0.03,-0.008803913630943908,-0.007554918557382449,0.030221266184144828,-0.008786916451866094,-0.007564658935794745,0.030226920939471432,-0.008803913630943908,-0.007554918557382449,0.030221266184144828,-16.997179077814575,9.74037841229569,-5.654755326604116,20.390079107785997,222.3509897671451,-1.6997179077814575e-05,9.74037841229569e-06,-5.654755326604115e-06,2.0390079107785995e-05,0.0002223509897671451
Triple,32,3,True,True,Elastic mechanics offset,000000000000080f47c78e583e66c2a9,000000000000080f41d566cd4e7b05fe,gfe_validated_commands\Triple_Q32_offset_T3.npz,0.0088,-0.007533333333333333,0.03,0.008801322538604795,-0.00753382563844261,0.03020821335355456,0.008809821720495783,-0.007540810024679314,0.030190779254735962,0.008801322538604795,-0.00753382563844261,0.03020821335355456,-8.499181890988735,6.984386236704755,17.434098818595867,20.614692467658774,208.21813578821067,-8.499181890988736e-06,6.984386236704755e-06,1.7434098818595867e-05,2.061469246765877e-05,0.00020821813578821068
