seed,beta_factor,evaluation,curvature_term_n_m,force_term_n_m,pressure_term_n_m,curvature_gradient_l2,force_gradient_l2,pressure_gradient_l2,gradient_inf,gradient_l2,objective_n_m
260905,0.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.0,0.0003312166872185892,2.3851575741328926e-05,0.0,6.192255094614651e-05,0.00032529880024556086,-0.00025738322477240097
260905,0.0,terminal,-0.03275833469044738,0.00020701174649304606,0.0,6.01967023530341e-05,6.01961462193751e-05,0.0,3.6381390943719877e-09,9.85640760917318e-09,-0.03255132294395433
260905,0.01,initial,-0.00028873307875201007,3.1349853979609095e-05,5.8876007253061795e-05,0.0003312166872185892,2.3851575741328926e-05,2.924376502892176e-05,5.8791518918064185e-05,0.00031353257844615544,-0.00019850721751933919
260905,0.01,terminal,-0.032749961080114534,0.00020026394930683464,0.00015832604783124152,8.758955640593517e-05,6.0563519381527034e-05,2.8649161889576505e-05,6.1075131920844915e-09,1.7154005341265214e-08,-0.03239137108297646
260905,0.03,initial,-0.00028873307875201007,3.1349853979609095e-05,0.00017662802175918537,0.0003312166872185892,2.3851575741328926e-05,8.773129508676526e-05,5.252945486189953e-05,0.00029732238583275554,-8.07552030132156e-05
260905,0.03,terminal,-0.03272306926694198,0.0001863760281388496,0.0004554668842297146,0.00014286453980465023,6.12756337656316e-05,8.442775351422879e-05,9.935235648828635e-09,2.6647399757867488e-08,-0.03208122635457342
260905,0.1,initial,-0.00028873307875201007,3.1349853979609095e-05,0.0005887600725306179,0.0003312166872185892,2.3851575741328926e-05,0.00029243765028921754,5.289552671377973e-05,0.0003280560834310882,0.00033137684775821696
260905,0.1,terminal,-0.03253207826973803,0.00013461617744976506,0.001301668680197255,0.00031099447953897936,6.334796122770833e-05,0.0002511226773759878,8.446937738163914e-09,2.835745733406053e-08,-0.03109579341209101
260905,0.3,initial,-0.00028873307875201007,3.1349853979609095e-05,0.0017662802175918537,0.0003312166872185892,2.3851575741328926e-05,0.0008773129508676526,0.00015557378183229573,0.000790153427244421,0.0015088969928194528
260905,0.3,terminal,-0.030844445007264135,2.3938818368535627e-05,0.0012694474046396776,0.0005491595505426044,7.091546908195113e-05,0.0004834730156915025,8.046593880382856e-09,3.0066265505205384e-08,-0.029551058784255922
260905,1.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.0058876007253061795,0.0003312166872185892,2.3851575741328926e-05,0.0029243765028921747,0.0005739253612521339,0.0027965361237416056,0.005630217500533778
260905,1.0,terminal,-0.029469479987289784,6.472580135679305e-07,4.105169268052132e-06,0.0005690845465059986,7.476678871907753e-05,0.00064065556506869,8.814308550186487e-09,3.213275963702329e-08,-0.029464727560008164
260905,3.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.01766280217591854,0.0003312166872185892,2.3851575741328926e-05,0.008773129508676527,0.0017692155881659569,0.008634933227263542,0.017405418951146136
260905,3.0,terminal,-0.02946922049765966,6.542365719880851e-07,1.1776769632280253e-05,0.0005689869570019808,7.47663238312987e-05,0.0006405737898054193,9.306920316204777e-09,4.1124122465844157e-08,-0.02945678949145539
260905,10.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.058876007253061795,0.0003312166872185892,2.3851575741328926e-05,0.029243765028921755,0.005952731382364338,0.029102092414275898,0.05861862402828939
260905,10.0,terminal,-0.02946908952439011,6.592038808901885e-07,3.906226630434618e-05,0.0005720172734601024,7.464667425354714e-05,0.000627901501730364,2.8222785748809986e-06,1.589174122850575e-05,-0.029429368054204874
260905,30.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.17662802175918538,0.0003312166872185892,2.3851575741328926e-05,0.08773129508676525,0.01790563365150257,0.08758864349017516,0.17637063853441298
260905,30.0,terminal,-0.029468965045006304,6.5305161348012e-07,0.00011712216124524609,0.0005769465601912086,7.455247137422968e-05,0.0006464270443168478,3.968206243822503e-07,1.8509400568816814e-06,-0.029351189832147576
260905,100.0,initial,-0.00028873307875201007,3.1349853979609095e-05,0.5887600725306179,0.0003312166872185892,2.3851575741328926e-05,0.29243765028921753,0.059740791593486386,0.2922946575480237,0.5885026893058455
260905,100.0,terminal,-0.029468909819301798,6.578284653969156e-07,0.00039035524463120586,0.0005759812240708274,7.452042418925378e-05,0.0006477012450938348,3.9301278119220954e-07,1.43401870051935e-06,-0.029077896746205194
