beta_factor,metric,n,median,q25,q75,ci95_low,ci95_high,native_convergence_count,nearer_rh_reference_count
10.0,xz_field_similarity_to_fixed_fe,1,0.9497046120102656,0.9497046120102656,0.9497046120102656,,,0,1
10.0,target_pressure_over_shared_peak,1,2.4077775353282778e-06,2.4077775353282778e-06,2.4077775353282778e-06,,,0,1
30.0,iterations,1,10000.0,10000.0,10000.0,,,0,1
30.0,iterations_relative_to_nominal_rh,1,2.237136465324385,2.237136465324385,2.237136465324385,,,0,1
30.0,terminal_gradient_inf,1,3.968206243822503e-07,3.968206243822503e-07,3.968206243822503e-07,,,0,1
30.0,command_similarity_to_fixed_rh,1,0.9867085625495403,0.9867085625495403,0.9867085625495403,,,0,1
30.0,command_similarity_to_fixed_fe,1,0.8209554110293801,0.8209554110293801,0.8209554110293801,,,0,1
30.0,xz_field_similarity_to_fixed_rh,1,0.9994220057749816,0.9994220057749816,0.9994220057749816,,,0,1
30.0,xz_field_similarity_to_fixed_fe,1,0.9491784558472376,0.9491784558472376,0.9491784558472376,,,0,1
30.0,target_pressure_over_shared_peak,1,7.905940663814018e-07,7.905940663814018e-07,7.905940663814018e-07,,,0,1
100.0,iterations,1,10000.0,10000.0,10000.0,,,0,1
100.0,iterations_relative_to_nominal_rh,1,2.237136465324385,2.237136465324385,2.237136465324385,,,0,1
100.0,terminal_gradient_inf,1,3.9301278119220954e-07,3.9301278119220954e-07,3.9301278119220954e-07,,,0,1
100.0,command_similarity_to_fixed_rh,1,0.9872736950852372,0.9872736950852372,0.9872736950852372,,,0,1
100.0,command_similarity_to_fixed_fe,1,0.8209221200453716,0.8209221200453716,0.8209221200453716,,,0,1
100.0,xz_field_similarity_to_fixed_rh,1,0.9995563102523302,0.9995563102523302,0.9995563102523302,,,0,1
100.0,xz_field_similarity_to_fixed_fe,1,0.9496203496540445,0.9496203496540445,0.9496203496540445,,,0,1
100.0,target_pressure_over_shared_peak,1,2.2132545389784175e-07,2.2132545389784175e-07,2.2132545389784175e-07,,,0,1
