requested,reference_method,xz_amplitude_cosine_similarity,xz_amplitude_pearson_correlation,shared_peak_pa,reference_target_relative_pressure,conventional_target_relative_pressure
Twin,FE,0.9996146724549254,0.9982343716996374,9650.37161003879,0.0012101008530958073,2.3366315690884106e-10
Twin,RH,0.9995747309999031,0.9980451073846094,9650.37161003879,3.3325355167747964e-09,2.3366315690884106e-10
Bottle,FE,0.9494408087663894,0.8381785161649102,11588.315862809932,0.32864125451010145,1.990516579068833e-10
Bottle,RH,0.997259886751587,0.9916917692500885,11588.315862809932,2.5746351121496885e-05,1.990516579068833e-10
