case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X+0_Y+0_Z45,fixed_nearest,4,90.0,-153.61946204146716,0.3473335553265261,True,True,1.5930049244030306e-05,80.69171990452058,1,,4.454139,3.63071281571191e-21,0.28258099999999997,0.2506015,0.4072665,3,,,,
X+0_Y+0_Z45,best_offset,4,90.0,-163.55049943229454,0.2683650017431538,True,True,1.649978935848494e-05,83.57766890754525,256,,4.454139,3.63071281571191e-21,25.37246,24.827621999999998,31.781678,3,,,,
X+0_Y+0_Z45,mechanics_offset,4,90.0,-158.6404959386003,0.0030994641793680618,True,True,1.6054826540218937e-05,81.32376406711283,256,Xp0_Yp0_Z45__Q0004,4.454139,3.63071281571191e-21,24.415399999999998,21.888751499999998,32.1512775,3,0.0025175878516828865,True,1.6117488304241604e-05,256.0
X+0_Y+0_Z45,fixed_nearest,8,45.0,-185.16019060055038,0.29126051798243624,True,True,1.8941006805341847e-05,95.94335789131443,1,,4.454139,3.63071281571191e-21,0.428627,0.3576875,0.6843589999999999,3,,,,
X+0_Y+0_Z45,best_offset,8,45.0,-185.67741789036089,0.05121182525688606,True,True,1.8604134381581085e-05,94.23697174992527,256,,4.454139,3.63071281571191e-21,28.876068999999998,28.757517,34.453529499999995,3,,,,
X+0_Y+0_Z45,mechanics_offset,8,45.0,-183.36442440399077,0.0005971182133748359,True,True,1.923123108849077e-05,97.41345357065575,256,Xp0_Yp0_Z45__Q0008,4.454139,3.63071281571191e-21,18.920647,18.746203,19.853747,3,0.0005809799159264813,True,1.9305657877273497e-05,256.0
X+0_Y+0_Z45,fixed_nearest,10,36.0,-186.3365214877913,0.06538535043130317,True,True,1.8961476151025292e-05,96.04704286323229,1,,4.454139,3.63071281571191e-21,2.557204,2.2091215,4.949049,3,,,,
X+0_Y+0_Z45,best_offset,10,36.0,-187.20477588704807,0.07367383073710043,True,True,1.9160186333821768e-05,97.05358503813474,256,,4.454139,3.63071281571191e-21,29.113515999999997,27.198395999999995,32.46122149999999,3,,,,
X+0_Y+0_Z45,mechanics_offset,10,36.0,-186.77405967722058,0.005404331632694073,True,True,1.920519286012354e-05,97.2815601032827,256,Xp0_Yp0_Z45__Q0010,4.454139,3.63071281571191e-21,18.462321,18.403416,24.052147499999997,3,0.005250288202747318,True,1.9273386682490495e-05,256.0
X+0_Y+0_Z45,fixed_nearest,16,22.5,-190.85498616565894,0.13067646622779566,True,True,1.951020456201328e-05,98.82655964719254,1,,4.454139,3.63071281571191e-21,0.311865,0.2745535,0.41678499999999996,3,,,,
X+0_Y+0_Z45,best_offset,16,22.5,-190.93711335483303,0.05963029680294136,True,True,1.956930072707573e-05,99.12590405759589,256,,4.454139,3.63071281571191e-21,27.983265,26.191048,31.894813,3,,,,
X+0_Y+0_Z45,mechanics_offset,16,22.5,-190.79137874474924,0.003988575880839648,True,True,1.9743097852308522e-05,100.00625218048387,256,Xp0_Yp0_Z45__Q0016,4.454139,3.63071281571191e-21,18.505162,18.366009,24.850727999999997,3,0.003882915516308479,True,1.981739178832546e-05,256.0
X+0_Y+0_Z45,fixed_nearest,32,11.25,-192.31741370772704,0.054685819368613386,True,True,1.9661447957259123e-05,99.59266460390883,1,,4.454139,3.63071281571191e-21,0.392959,0.33458350000000003,0.4213125,3,,,,
X+0_Y+0_Z45,best_offset,32,11.25,-192.40521595407898,0.027815560053205686,True,True,1.982232871660135e-05,100.40758645204653,256,,4.454139,3.63071281571191e-21,28.795688,27.462714499999997,40.414469,3,,,,
X+0_Y+0_Z45,mechanics_offset,32,11.25,-192.36793760294708,0.0012165302552270582,True,True,1.9714804685897523e-05,99.86293659970475,256,Xp0_Yp0_Z45__Q0032,4.454139,3.63071281571191e-21,24.464209,23.1277315,30.083314,3,0.0012133123156205167,True,1.978818237044171e-05,256.0
X+0_Y+0_Z45,fixed_nearest,128,2.8125,-192.9292419986041,0.012237544909393673,True,True,1.9724038915022364e-05,99.90971146013746,1,,4.454139,3.63071281571191e-21,0.691157,0.6552965,0.88906,3,,,,
X+0_Y+0_Z45,best_offset,128,2.8125,-192.9348438895398,0.021556655471689785,True,True,1.9728231108768067e-05,99.93094650582576,256,,4.454139,3.63071281571191e-21,28.811964,26.736114,32.2337045,3,,,,
