case_id,method,levels,nominal_bits,phase_step_deg,objective,objective_gap_relative,objective_retention_pct,equilibrium_shift_mm,stiffness_retention_pct,stiffness_absolute_error_pct,continuous_FE_time_ms,total_synthesis_time_ms,total_time_ratio_to_continuous,candidate_evaluations,accepted_moves,sweeps,discrete_coordinate_converged,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,root_x_m,root_y_m,root_z_m,root_target_mm,root_force_scaled,root_converged,root_stiffness_min,root_stiffness_mid,root_stiffness_max,root_stable,root_solver
X+0_Y+0_Z45,fixed_nearest,4,2.0,90.0,-153.61946204146716,0.20391686550400515,79.60831344959949,0.3473335553265261,80.6917199045206,19.308280095479404,5515.837592000025,5516.096546000025,1.000046947357619,1,0,0,True,0.25895399999999996,0.23237,0.330491,9,7.676290537305475e-18,4.257425864252948e-18,0.044596581705905476,0.4034182940945222,7.72822979504568e-13,True,1.5930049244030306e-05,0.00023368648549304885,0.0002336864854930565,True,root
X+0_Y+0_Z45,best_offset,4,2.0,90.0,-163.55049943229454,0.15245247896193595,84.75475210380641,0.2683650017431538,83.57766890754526,16.42233109245474,5515.837592000025,5540.9413420000255,1.004551212681898,256,0,0,True,25.103749999999998,24.881618,36.002307,9,3.1995202804014516e-18,7.841647635201423e-19,0.04467555025948885,0.3244497405111499,8.782218216349921e-13,True,1.649978935848494e-05,0.0002486695168961826,0.00024866951689619043,True,root
X+0_Y+0_Z45,offset_allQ_CD,4,2.0,90.0,-163.55049943229454,0.15245247896193595,84.75475210380641,0.2683650017431538,83.57766890754526,16.42233109245474,5515.837592000025,5552.253856000026,1.0066021276719272,1276,0,1,True,36.416264,33.159988,47.307103,9,3.1995202804014516e-18,7.841647635201423e-19,0.04467555025948885,0.3244497405111499,8.782218216349921e-13,True,1.649978935848494e-05,0.0002486695168961826,0.00024866951689619043,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,4,2.0,90.0,-163.55049943229454,0.15245247896193595,84.75475210380641,0.2683650017431538,83.57766890754526,16.42233109245474,5515.837592000025,5552.253856000026,1.0066021276719272,1276,0,1,True,36.416264,33.159988,47.307103,9,3.1995202804014516e-18,7.841647635201423e-19,0.04467555025948885,0.3244497405111499,8.782218216349921e-13,True,1.649978935848494e-05,0.0002486695168961826,0.00024866951689619043,True,root
X+0_Y+0_Z45,fixed_nearest,8,3.0,45.0,-185.16019060055038,0.040467249668060326,95.95327503319396,0.29126051798243624,95.94335789131445,4.056642108685551,5515.837592000025,5516.266972000025,1.000077844931588,1,0,0,True,0.42938,0.30512,3.163468,9,-9.901420066011598e-14,-6.967100784079117e-16,0.04523517577921444,0.23517577921444016,7.073917301887906e-09,True,1.8941006805341847e-05,0.00028000700589740353,0.000280007005897411,True,root
X+0_Y+0_Z45,best_offset,8,3.0,45.0,-185.67741789036089,0.03778688666816862,96.22131133318314,0.05121182525688606,94.23697174992529,5.763028250074711,5515.837592000025,5543.049407000025,1.0049333967046938,256,0,0,True,27.211814999999998,25.896977,37.251697,9,-6.917394841242537e-16,4.5016355972921314e-14,0.044892703435975116,0.10729656402488214,3.158128142778735e-09,True,1.8604134381581085e-05,0.0002813916076721695,0.0002813916076721731,True,root
X+0_Y+0_Z45,offset_allQ_CD,8,3.0,45.0,-185.67741789036094,0.03778688666816833,96.22131133318317,0.05121182525688606,94.23697174992529,5.763028250074711,5515.837592000025,5567.017850000026,1.009278782623011,2296,0,1,True,51.180257999999995,44.689958999999995,59.383647999999994,9,-6.917394841242537e-16,4.5016355972921314e-14,0.044892703435975116,0.10729656402488214,3.158128142778735e-09,True,1.8604134381581085e-05,0.0002813916076721695,0.0002813916076721731,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,8,3.0,45.0,-185.67741789036094,0.03778688666816833,96.22131133318317,0.05121182525688606,94.23697174992529,5.763028250074711,5515.837592000025,5567.017850000026,1.009278782623011,2296,0,1,True,51.180257999999995,44.689958999999995,59.383647999999994,9,-6.917394841242537e-16,4.5016355972921314e-14,0.044892703435975116,0.10729656402488214,3.158128142778735e-09,True,1.8604134381581085e-05,0.0002813916076721695,0.0002813916076721731,True,root
X+0_Y+0_Z45,fixed_nearest,10,3.321928094887362,36.0,-186.3365214877913,0.034371295630241765,96.56287043697583,0.06538535043130317,96.0470428632323,3.9529571367676937,5515.837592000025,5516.041051000026,1.0000368863289766,1,0,0,True,0.203459,0.19406199999999998,0.304755,9,6.971698360372214e-18,1.3677580461984062e-17,0.0448785299108007,0.12147008919929925,1.7221403831207105e-12,True,1.8961476151025292e-05,0.00027776719698588854,0.00028684257173816965,True,root
X+0_Y+0_Z45,best_offset,10,3.321928094887362,36.0,-187.20477588704807,0.02987184826520869,97.01281517347913,0.07367383073710043,97.05358503813476,2.946414961865244,5515.837592000025,5542.002873000025,1.0047436641423142,256,0,0,True,26.165281,25.903691,36.611726999999995,9,4.6692086593500995e-18,5.385491251411763e-18,0.0450175890919691,0.017589091969104353,9.610096264076933e-13,True,1.9160186333821768e-05,0.0002785400138876295,0.00028793585654483616,True,root
X+0_Y+0_Z45,offset_allQ_CD,10,3.321928094887362,36.0,-187.20477588704807,0.02987184826520869,97.01281517347913,0.07367383073710043,97.05358503813476,2.946414961865244,5515.837592000025,5563.754947000025,1.008687230941951,2806,0,1,True,47.917355,39.575495,62.762677,9,4.6692086593500995e-18,5.385491251411763e-18,0.0450175890919691,0.017589091969104353,9.610096264076933e-13,True,1.9160186333821768e-05,0.0002785400138876295,0.00028793585654483616,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,10,3.321928094887362,36.0,-187.20477588704807,0.02987184826520869,97.01281517347913,0.07367383073710043,97.05358503813476,2.946414961865244,5515.837592000025,5563.754947000025,1.008687230941951,2806,0,1,True,47.917355,39.575495,62.762677,9,4.6692086593500995e-18,5.385491251411763e-18,0.0450175890919691,0.017589091969104353,9.610096264076933e-13,True,1.9160186333821768e-05,0.0002785400138876295,0.00028793585654483616,True,root
X+0_Y+0_Z45,fixed_nearest,16,4.0,22.5,-190.85498616565894,0.01095581509109403,98.9044184908906,0.13067646622779566,98.82655964719255,1.1734403528074466,5515.837592000025,5516.094903000026,1.0000466494880802,1,0,0,True,0.257311,0.23323,0.30457,9,1.9560983989385662e-15,9.21663657532839e-14,0.0450745917274598,0.07459172745979958,6.669581571759787e-09,True,1.951020456201328e-05,0.0002887694222650034,0.00028876942226500717,True,root
X+0_Y+0_Z45,best_offset,16,4.0,22.5,-190.93711335483303,0.010530217518259118,98.94697824817409,0.05963029680294136,99.1259040575959,0.8740959424040966,5515.837592000025,5540.846620000026,1.004534039950029,256,0,0,True,25.009027999999997,24.767453999999997,43.150482,9,1.393796358355849e-17,-7.190014921614914e-14,0.045003545558034944,0.003545558034945274,5.17428506120715e-09,True,1.956930072707573e-05,0.00028890879119149035,0.0002889087911914953,True,root
X+0_Y+0_Z45,offset_allQ_CD,16,4.0,22.5,-190.93711335483306,0.01053021751825897,98.9469782481741,0.05963029680294136,99.1259040575959,0.8740959424040966,5515.837592000025,5558.794704000025,1.0077879580904092,4336,0,1,True,42.957111999999995,33.182869,47.743414,9,1.393796358355849e-17,-7.190014921614914e-14,0.045003545558034944,0.003545558034945274,5.17428506120715e-09,True,1.956930072707573e-05,0.00028890879119149035,0.0002889087911914953,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,16,4.0,22.5,-190.93711335483306,0.01053021751825897,98.9469782481741,0.05963029680294136,99.1259040575959,0.8740959424040966,5515.837592000025,5558.794704000025,1.0077879580904092,4336,0,1,True,42.957111999999995,33.182869,47.743414,9,1.393796358355849e-17,-7.190014921614914e-14,0.045003545558034944,0.003545558034945274,5.17428506120715e-09,True,1.956930072707573e-05,0.00028890879119149035,0.0002889087911914953,True,root
X+0_Y+0_Z45,fixed_nearest,32,5.0,11.25,-192.31741370772704,0.003377257750823015,99.6622742249177,0.054685819368613386,99.59266460390884,0.4073353960911561,5515.837592000025,5516.043476000025,1.0000373259720878,1,0,0,True,0.20588399999999998,0.18534899999999999,0.253916,9,-1.9355698927460514e-18,-5.498521345133468e-19,0.044998601080600616,0.001398919399382692,3.8378898523192947e-13,True,1.9661447957259123e-05,0.0002910425890482961,0.00029104258904829775,True,root
X+0_Y+0_Z45,best_offset,32,5.0,11.25,-192.40521595407898,0.0029222510312136517,99.70777489687863,0.027815560053205686,100.40758645204654,0.4075864520465444,5515.837592000025,5541.3680420000255,1.004628571739862,256,0,0,True,25.53045,24.55057,35.900183,9,4.575944564909396e-18,-1.0165463353223627e-17,0.0449160997011788,0.08390029882120176,6.754082532429804e-13,True,1.982232871660135e-05,0.0002913226818173263,0.00029132268181733057,True,root
X+0_Y+0_Z45,offset_allQ_CD,32,5.0,11.25,-192.40521595407893,0.0029222510312139466,99.7077748968786,0.027815560053205686,100.40758645204654,0.4075864520465444,5515.837592000025,5559.102918000025,1.0078438360953104,8416,0,1,True,43.265325999999995,32.863037999999996,49.372979,9,4.575944564909396e-18,-1.0165463353223627e-17,0.0449160997011788,0.08390029882120176,6.754082532429804e-13,True,1.982232871660135e-05,0.0002913226818173263,0.00029132268181733057,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,32,5.0,11.25,-192.40521595407893,0.0029222510312139466,99.7077748968786,0.027815560053205686,100.40758645204654,0.4075864520465444,5515.837592000025,5559.102918000025,1.0078438360953104,8416,0,1,True,43.265325999999995,32.863037999999996,49.372979,9,4.575944564909396e-18,-1.0165463353223627e-17,0.0449160997011788,0.08390029882120176,6.754082532429804e-13,True,1.982232871660135e-05,0.0002913226818173263,0.00029132268181733057,True,root
X+0_Y+0_Z45,fixed_nearest,64,6.0,5.625,-192.83835180308935,0.0006776647023689227,99.93223352976311,0.06479083522828444,99.8700386531664,0.12996134683359628,5515.837592000025,5516.088341000025,1.0000454598228858,1,0,0,True,0.250749,0.23165899999999998,0.258172,9,7.129114573157726e-19,1.0861603827552691e-17,0.04487912442600372,0.12087557399628052,1.0826527353676538e-12,True,1.9716206763601546e-05,0.00029213657231171107,0.0002921365723117149,True,root
X+0_Y+0_Z45,best_offset,64,6.0,5.625,-192.83844770625666,0.000677167715248784,99.93228322847511,0.055274353460414705,99.82666605041479,0.17333394958521353,5515.837592000025,5547.733194000025,1.0057825491537786,256,0,0,True,31.895602,24.914040999999997,37.142002999999995,9,-5.161098535360223e-18,1.618430952296437e-17,0.04488864090777159,0.11135909222841078,2.452892093569945e-12,True,1.9707644203545915e-05,0.00029211505474662105,0.0002921150547466244,True,root
X+0_Y+0_Z45,offset_allQ_CD,64,6.0,5.625,-192.83844770625666,0.000677167715248784,99.93228322847511,0.055274353460414705,99.82666605041479,0.17333394958521353,5515.837592000025,5562.542796000025,1.0084674726586838,16576,0,1,True,46.705203999999995,40.488606999999995,47.89308,9,-5.161098535360223e-18,1.618430952296437e-17,0.04488864090777159,0.11135909222841078,2.452892093569945e-12,True,1.9707644203545915e-05,0.00029211505474662105,0.0002921150547466244,True,root
X+0_Y+0_Z45,adaptive_coarse_CD,64,6.0,5.625,-192.83844770625666,0.000677167715248784,99.93228322847511,0.055274353460414705,99.82666605041479,0.17333394958521353,5515.837592000025,5547.733194000025,1.0057825491537786,256,0,0,True,31.895602,24.914040999999997,37.142002999999995,9,-5.161098535360223e-18,1.618430952296437e-17,0.04488864090777159,0.11135909222841078,2.452892093569945e-12,True,1.9707644203545915e-05,0.00029211505474662105,0.0002921150547466244,True,root
X+0_Y+0_Z45,fixed_nearest,128,7.0,2.8125,-192.9292419986041,0.0002066556858107705,99.97933443141892,0.012237544909393673,99.90971146013747,0.09028853986252727,5515.837592000025,5516.0971540000255,1.000047057585665,1,0,0,True,0.259562,0.251642,0.286367,9,-6.672608929756865e-19,-4.731746698683676e-18,0.04493167771632261,0.06832228367738974,1.0281831684331902e-12,True,1.9724038915022364e-05,0.0002921193437234156,0.00029211934372341824,True,root
X+0_Y+0_Z45,best_offset,128,7.0,2.8125,-192.9348438895398,0.00017762569940203942,99.9822374300598,0.021556655471689785,99.93094650582577,0.06905349417422713,5515.837592000025,5562.791003000026,1.0085124716268115,256,0,0,True,46.953410999999996,37.879402999999996,57.652604999999994,9,6.079839101224073e-18,-1.6657710869864596e-17,0.04496547191670369,0.0345280832963063,2.2881132308013148e-12,True,1.9728231108768067e-05,0.00029204727950325515,0.0002920472795032561,True,root
X+0_Y+0_Z45,offset_allQ_CD,128,7.0,2.8125,-192.9348438895398,0.00017762569940203942,99.9822374300598,0.021556655471689785,99.93094650582577,0.06905349417422713,5515.837592000025,5551.187941000026,1.0064088814092842,32896,0,1,True,35.350349,34.908136999999996,45.961863,9,6.079839101224073e-18,-1.6657710869864596e-17,0.04496547191670369,0.0345280832963063,2.2881132308013148e-12,True,1.9728231108768067e-05,0.00029204727950325515,0.0002920472795032561,True,root
