method,levels,cases,stable_fraction,converged_fraction,shift_median_mm,shift_p90_mm,stiffness_retention_median_pct,transition_time_median_ms,mechanics_setup_median_ms
best_offset,4,15,1.0,1.0,0.19343366362453698,0.5674623531212156,81.78702830376352,29.9544,4.3250969999999995
fixed_nearest,4,15,1.0,1.0,0.2417681856027615,0.34068919759390875,82.51261404651908,0.5111899999999999,4.3250969999999995
mechanics_offset,4,15,1.0,1.0,0.014669987725487303,0.019563740663783906,82.60516628887524,20.717862,4.3250969999999995
best_offset,8,15,1.0,1.0,0.16428819933473493,0.20118536973716314,95.56129799453811,40.174642999999996,4.3250969999999995
fixed_nearest,8,15,1.0,1.0,0.15317920549532377,0.3059449270014905,95.34251478743982,0.455155,4.3250969999999995
mechanics_offset,8,15,1.0,1.0,0.012809460042852076,0.026299010617994865,94.96207408379361,27.249886999999998,4.3250969999999995
best_offset,10,15,1.0,1.0,0.07741384657913171,0.10087807824166518,96.83647161344582,32.108852999999996,4.3250969999999995
fixed_nearest,10,15,1.0,1.0,0.055165362037239485,0.13410198885270536,96.95078246751295,0.653674,4.3250969999999995
mechanics_offset,10,15,1.0,1.0,0.005952373689231339,0.01744647368711156,96.9156957580844,23.555581999999998,4.3250969999999995
best_offset,16,15,1.0,1.0,0.028498545091766365,0.08609547052215293,99.04926977785837,33.858602999999995,4.3250969999999995
fixed_nearest,16,15,1.0,1.0,0.057609186975038515,0.1296319484215303,98.75774888891175,0.41778099999999996,4.3250969999999995
mechanics_offset,16,15,1.0,1.0,0.004450364777374217,0.011822428086956637,98.91593085357754,25.875633,4.3250969999999995
best_offset,32,15,1.0,1.0,0.03005605502721945,0.06336912236573833,99.84367239548182,32.965542,4.3250969999999995
fixed_nearest,32,15,1.0,1.0,0.029338797087932408,0.06251251419562957,99.56170559897339,0.43034799999999995,4.3250969999999995
mechanics_offset,32,15,1.0,1.0,0.004065296256270773,0.006434965040083819,99.82884119759387,22.855307999999997,4.3250969999999995
best_offset,128,15,1.0,1.0,0.002800529437215986,0.016823644713327795,99.98558119953422,34.437535,4.3250969999999995
fixed_nearest,128,15,1.0,1.0,0.009603317767304265,0.01610534817391367,99.9957765696189,0.728633,4.3250969999999995
mechanics_offset,128,15,1.0,1.0,0.0008285749707779862,0.0020051542523830024,99.97298156270305,21.156582,4.3250969999999995
best_offset,2048,15,1.0,1.0,0.0005460744650699053,0.001146049421212234,99.99954021121958,36.642990999999995,4.3250969999999995
fixed_nearest,2048,15,1.0,1.0,0.0007822354872560027,0.0009971181665778626,99.99986410946842,0.882428,4.3250969999999995
mechanics_offset,2048,15,1.0,1.0,5.543839040770904e-05,0.00011626982613810573,100.00156412230722,22.768237,4.3250969999999995
