method,cases,stable_fraction,shift_median_mm,shift_p90_mm,shift_max_mm,stiffness_abs_error_median_pct,transition_median_ms,effective_transition_median_ms,end_to_end_ratio_median
mechanics_offset,105,1.0,0.0044232495462233,0.017023288770970483,0.0368644781794881,1.0840691464224648,22.929033,30.021889,1.0938619404096879
best_offset,105,1.0,0.0324140512231708,0.19205537073018464,0.849879331167154,0.9507302221416438,32.965542,32.965542,1.109179117001541
fixed_nearest,105,1.0,0.0446402122231099,0.24965331125345125,0.6680903104662184,1.2422511110882368,0.614753,0.614753,1.0017482300686904
