task,method,levels,target_index,seed,reference_method,reference_phase_content_id,root_found,locally_restoring,additional_equilibrium_shift_m,absolute_target_error_m,additional_equilibrium_shift_um,absolute_target_error_um,root_residual_scaled,stiffness_min_n_m,phase_content_id,evidence_status
Single,Elastic mechanics offset,2048,0,172817509,GFE,000000000000080f57f18575ab090e06,True,True,1.0085499665184219e-08,2.9145978116477955e-05,0.01008549966518422,29.145978116477956,1.2023365768960678e-11,0.002253634497807141,000000000000080fcd0cf0f4c5bb1e9c,SMOKE
Triple,Nearest,4,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0010945115443560319,0.000797642835231609,1094.511544356032,797.6428352316091,8.304305303715768e-12,0.0014416059320763329,000000000000080f86a0c776b3382946,SMOKE
Triple,Nearest,4,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0014404301087006471,0.001216648441782567,1440.4301087006472,1216.648441782567,5.204259349491968e-12,0.0009287418547929461,000000000000080f86a0c776b3382946,SMOKE
Triple,Nearest,4,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0009514807260492109,0.0007614428290153301,951.4807260492108,761.4428290153301,6.633550660196056e-12,0.0011023356481604464,000000000000080f86a0c776b3382946,SMOKE
Triple,Elastic mechanics offset,4,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.00010564955974043944,0.0003800596210818288,105.64955974043944,380.05962108182877,7.293380007618688e-12,0.0015074679623002824,000000000000080f391bfcfb39eb36ce,SMOKE
Triple,Elastic mechanics offset,4,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.00029415570544405196,0.0001943653165147631,294.155705444052,194.3653165147631,2.4518481603564536e-12,0.0010665147638310119,000000000000080f391bfcfb39eb36ce,SMOKE
Triple,Elastic mechanics offset,4,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0002916881385765959,0.00047104050124415007,291.6881385765959,471.04050124415005,9.189122047544256e-12,0.0011223071069545218,000000000000080f391bfcfb39eb36ce,SMOKE
Triple,Nearest,8,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.000412934946723381,0.0007100104375868486,412.934946723381,710.0104375868485,1.348798001611762e-11,0.0015706860657440282,000000000000080f9ebe510211d2bdcc,SMOKE
Triple,Nearest,8,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0003720338027372576,0.0005933283602027301,372.0338027372576,593.3283602027301,9.414728506314423e-12,0.0012429268797575985,000000000000080f9ebe510211d2bdcc,SMOKE
Triple,Nearest,8,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.00021183291753572135,0.00039947132455541595,211.83291753572135,399.47132455541595,9.74806294424217e-12,0.0012241214786831303,000000000000080f9ebe510211d2bdcc,SMOKE
Triple,Elastic mechanics offset,8,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.633301647606905e-05,0.0003232014011848021,46.33301647606905,323.2014011848021,4.532549120221358e-12,0.001515282225578136,000000000000080f6f7a2cfc3c8ebeca,SMOKE
Triple,Elastic mechanics offset,8,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,3.6614031956634244e-05,0.00023814511901606127,36.61403195663424,238.14511901606127,1.8440040326912083e-12,0.0013632423247959794,000000000000080f6f7a2cfc3c8ebeca,SMOKE
