levels,commands,roots_found,locally_restoring_roots,additional_equilibrium_shift_um_median,additional_equilibrium_shift_um_p90,absolute_target_error_um_median,absolute_target_error_um_p90,stiffness_retention_pct_median,stiffness_retention_pct_p90,additional_equilibrium_shift_m_median,additional_equilibrium_shift_m_p90,absolute_target_error_m_median,absolute_target_error_m_p90
4,15,15,15,181.80938960956692,224.45523917887476,594.1860250216795,792.9071903173515,82.83931707030047,83.21982679131311,0.00018180938960956692,0.00022445523917887476,0.0005941860250216794,0.0007929071903173514
8,15,15,15,53.04300003509177,71.17681393170014,434.8303662970261,631.9464897823254,95.05167375779864,96.57245539288462,5.304300003509177e-05,7.117681393170014e-05,0.00043483036629702606,0.0006319464897823255
10,15,15,15,30.304589188006084,35.02241257164644,412.6599742693485,611.625827013419,96.93990229744446,97.29038687672818,3.0304589188006082e-05,3.502241257164644e-05,0.0004126599742693485,0.000611625827013419
16,15,15,15,10.706372222713538,16.511775496368234,397.8651995448967,590.2900442878254,98.9129697812842,99.24148502833773,1.0706372222713537e-05,1.6511775496368234e-05,0.0003978651995448967,0.0005902900442878253
32,15,15,15,5.796121058951406,7.828802674903537,387.6319479165369,579.7161160682411,99.69648207183589,99.84983278838727,5.7961210589514054e-06,7.828802674903537e-06,0.00038763194791653687,0.0005797161160682411
128,15,15,15,0.8748565253802049,1.8560742925009714,387.8154490698607,576.8595971707274,99.98177042467178,100.01643177090584,8.748565253802049e-07,1.8560742925009713e-06,0.0003878154490698607,0.0005768595971707274
2048,15,15,15,0.046854603517207716,0.11757899253911121,387.7366486969395,577.0566792710846,100.00147874812252,100.00366156531719,4.6854603517207715e-08,1.175789925391112e-07,0.00038773664869693944,0.0005770566792710845
