task,target_index,command,force_absolute_error_n,force_relative_error
Single,0,continuous,2.639302222535924e-18,2.368605483203533e-12
Single,0,Q4 nearest,7.342884922680041e-18,6.589771092482671e-12
Triple,0,continuous,3.7458172394744695e-18,3.3616321680241845e-12
Triple,0,Q4 nearest,3.2329095342834342e-18,2.026432633092228e-12
Triple,1,continuous,2.912714062467155e-18,2.61397517890794e-12
Triple,1,Q4 nearest,2.3220449755724013e-18,1.1791888908023626e-12
Triple,2,continuous,2.3123675412039382e-18,2.0752024495355337e-12
Triple,2,Q4 nearest,1.5048161849311264e-18,1.0952407526682069e-12
