task,levels,method,targets,roots_found,locally_restoring,worst_added_shift_um,worst_absolute_target_error_um,worst_added_shift_m,worst_absolute_target_error_m
Single,0,Continuous GFE,1,1,1,0.0,29.156015772075392,0.0,2.915601577207539e-05
Triple,0,Continuous GFE,3,3,3,0.0,297.6795390815053,0.0,0.0002976795390815053
Single,4,Nearest,1,1,1,573.2893406584024,602.4453564131213,0.0005732893406584024,0.0006024453564131213
Single,4,Elastic mechanics offset,1,1,1,0.13269375598990552,29.288705882445086,1.326937559899055e-07,2.9288705882445084e-05
Single,8,Nearest,1,1,1,197.77298064753356,168.6169648895397,0.00019777298064753356,0.0001686169648895397
Single,8,Elastic mechanics offset,1,1,1,1.4897114897951882,27.66630458901631,1.4897114897951881e-06,2.7666304589016307e-05
Single,10,Nearest,1,1,1,3.658692022340859,25.49732386483705,3.658692022340859e-06,2.5497323864837048e-05
Single,10,Elastic mechanics offset,1,1,1,3.0970700739054124,26.05894583714019,3.0970700739054123e-06,2.6058945837140187e-05
Single,16,Nearest,1,1,1,2.640795467916019,26.515220469994215,2.640795467916019e-06,2.6515220469994213e-05
Single,16,Elastic mechanics offset,1,1,1,2.640795467916019,26.515220469994215,2.640795467916019e-06,2.6515220469994213e-05
Single,32,Nearest,1,1,1,133.1062503825352,103.95685496244086,0.00013310625038253518,0.00010395685496244086
Single,32,Elastic mechanics offset,1,1,1,0.04134642093839238,29.114680983037545,4.134642093839238e-08,2.9114680983037544e-05
Single,128,Nearest,1,1,1,23.712976164280892,5.443039611585654,2.371297616428089e-05,5.443039611585654e-06
Single,128,Elastic mechanics offset,1,1,1,0.08542274665115308,29.241432864736407,8.542274665115309e-08,2.9241432864736405e-05
Single,256,Nearest,1,1,1,3.6683928679664137,32.824408492254655,3.6683928679664137e-06,3.282440849225465e-05
Single,256,Elastic mechanics offset,1,1,1,0.06745139252767327,29.22346000845677,6.745139252767326e-08,2.9223460008456766e-05
Single,640,Nearest,1,1,1,0.6536817957442328,28.502334696492436,6.536817957442328e-07,2.8502334696492434e-05
Single,640,Elastic mechanics offset,1,1,1,0.051980410959993784,29.207986901570727,5.198041095999378e-08,2.9207986901570726e-05
Single,2048,Nearest,1,1,1,0.7252411688834548,29.881256260452794,7.252411688834547e-07,2.9881256260452793e-05
Single,2048,Elastic mechanics offset,1,1,1,0.01008549966518422,29.145978116477956,1.0085499665184219e-08,2.9145978116477955e-05
Triple,4,Nearest,3,3,3,1440.4301087006472,1216.648441782567,0.0014404301087006471,0.001216648441782567
Triple,4,Elastic mechanics offset,3,3,3,294.155705444052,471.04050124415005,0.00029415570544405196,0.00047104050124415
Triple,8,Nearest,3,3,3,412.934946723381,710.0104375868485,0.000412934946723381,0.0007100104375868484
Triple,8,Elastic mechanics offset,3,3,3,87.25337399938259,323.2014011848021,8.725337399938258e-05,0.0003232014011848021
Triple,10,Nearest,3,3,3,329.9523098866084,315.4001850399302,0.0003299523098866084,0.0003154001850399302
Triple,10,Elastic mechanics offset,3,3,3,84.02366838456015,275.9916032280456,8.402366838456015e-05,0.0002759916032280456
Triple,16,Nearest,3,3,3,117.29259809729857,413.07518877930727,0.00011729259809729856,0.00041307518877930723
Triple,16,Elastic mechanics offset,3,3,3,42.968868338474444,323.3682459522387,4.296886833847444e-05,0.00032336824595223865
Triple,32,Nearest,3,3,3,133.45777668974907,204.15722490998795,0.00013345777668974905,0.00020415722490998794
Triple,32,Elastic mechanics offset,3,3,3,20.614692467658774,312.94627202782635,2.061469246765877e-05,0.00031294627202782635
Triple,128,Nearest,3,3,3,15.973246601110464,308.9583506066248,1.5973246601110464e-05,0.00030895835060662475
Triple,128,Elastic mechanics offset,3,3,3,5.49185425548059,299.23126798400375,5.491854255480589e-06,0.00029923126798400376
Triple,256,Nearest,3,3,3,5.439761544017733,292.53638664608366,5.439761544017733e-06,0.0002925363866460836
Triple,256,Elastic mechanics offset,3,3,3,3.4357714896059397,298.54959375229123,3.4357714896059394e-06,0.0002985495937522912
Triple,640,Nearest,3,3,3,2.1869421969270078,299.75174899920916,2.1869421969270076e-06,0.00029975174899920913
Triple,640,Elastic mechanics offset,3,3,3,1.0608403737810186,298.0715156454716,1.0608403737810185e-06,0.0002980715156454716
Triple,2048,Nearest,3,3,3,0.910685620607921,298.2536186036048,9.10685620607921e-07,0.0002982536186036048
Triple,2048,Elastic mechanics offset,3,3,3,0.3222517462237493,297.6983579977478,3.222517462237493e-07,0.00029769835799774776
