case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X+10_Y+0_Z45,fixed_nearest,4,90.0,-218.17501340733847,0.181238816072558,True,True,1.624082330535537e-05,83.91564966641847,1,,2.5822,2.1641685535336566e-17,0.6229,0.51515,0.7528999999999999,3,,,,
X+10_Y+0_Z45,best_offset,4,90.0,-225.5705163867455,0.0421785800874034,True,True,1.6067036323838862e-05,83.0176996559215,256,,2.5822,2.1641685535336566e-17,28.588,28.30345,28.6052,3,,,,
X+10_Y+0_Z45,mechanics_offset,4,90.0,-213.9367647536092,0.0155207459932215,True,True,1.5655525387023087e-05,80.89143998555458,256,Xp10_Yp0_Z45__Q0004,2.5822,2.1641685535336566e-17,12.3422,12.1191,12.5387,3,0.0119534520050103,True,1.5746744952055668e-05,256.0
X+10_Y+0_Z45,fixed_nearest,8,45.0,-255.71935623795835,0.1367977738682423,True,True,1.791108050587067e-05,92.54579824053891,1,,2.5822,2.1641685535336566e-17,0.5873999999999999,0.51235,0.6606,3,,,,
X+10_Y+0_Z45,best_offset,8,45.0,-256.5562970829239,0.0473323385931745,True,True,1.8176550860272985e-05,93.91747237540244,256,,2.5822,2.1641685535336566e-17,28.5556,28.1503,28.632,3,,,,
X+10_Y+0_Z45,mechanics_offset,8,45.0,-253.36915282822983,0.0128094643356311,True,True,1.87004270771084e-05,96.6243187128066,256,Xp10_Yp0_Z45__Q0008,2.5822,2.1641685535336566e-17,12.5477,12.31035,12.6541,3,0.0122281875828045,True,1.879983803631709e-05,256.0
X+10_Y+0_Z45,fixed_nearest,10,36.0,-258.3989149840235,0.1218185194762928,True,True,1.8909966150918405e-05,97.70699827767008,1,,2.5822,2.1641685535336566e-17,0.5599999999999999,0.46645,0.6323,3,,,,
X+10_Y+0_Z45,best_offset,10,36.0,-258.9199623605307,0.0947120845644473,True,True,1.8727029293606148e-05,96.76177124449195,256,,2.5822,2.1641685535336566e-17,26.9258,26.56685,27.2421,3,,,,
X+10_Y+0_Z45,mechanics_offset,10,36.0,-258.776174492355,0.0102228145232475,True,True,1.883580829203357e-05,97.3238277456602,256,Xp10_Yp0_Z45__Q0010,2.5822,2.1641685535336566e-17,12.9445,12.7881,13.1083,3,0.0098967057029645,True,1.894800787182497e-05,256.0
X+10_Y+0_Z45,fixed_nearest,16,22.5,-262.9753409736742,0.0485878057841247,True,True,1.9067637252786305e-05,98.52167821711018,1,,2.5822,2.1641685535336566e-17,0.7475999999999999,0.7271,0.7508999999999999,3,,,,
X+10_Y+0_Z45,best_offset,16,22.5,-264.0704788535039,0.0548951649442183,True,True,1.914430629873808e-05,98.9178239468791,256,,2.5822,2.1641685535336566e-17,26.4274,26.19275,27.14695,3,,,,
X+10_Y+0_Z45,mechanics_offset,16,22.5,-263.9990122679007,0.0057403006713602,True,True,1.907963336993718e-05,98.58366164893894,256,Xp10_Yp0_Z45__Q0016,2.5822,2.1641685535336566e-17,12.9447,12.748449999999998,13.0276,3,0.0056535926040033,True,1.9189763663268525e-05,256.0
X+10_Y+0_Z45,fixed_nearest,32,11.25,-266.2465176008887,0.0276714713987524,True,True,1.9267360492242604e-05,99.55363977948558,1,,2.5822,2.1641685535336566e-17,0.5437,0.4721999999999999,0.62815,3,,,,
X+10_Y+0_Z45,best_offset,32,11.25,-266.3164728139006,0.0723999636609088,True,True,1.9338348446973156e-05,99.920431550303,256,,2.5822,2.1641685535336566e-17,27.2001,27.107,27.413,3,,,,
X+10_Y+0_Z45,mechanics_offset,32,11.25,-266.2509379582688,0.006646490306453,True,True,1.9278371864754305e-05,99.61053507725865,256,Xp10_Yp0_Z45__Q0032,2.5822,2.1641685535336566e-17,11.8998,11.8881,11.99755,3,0.0065572464525626,True,1.9386299562675217e-05,256.0
X+10_Y+0_Z45,fixed_nearest,128,2.8125,-267.08782946507034,0.0051705582893109,True,True,1.935656051411009e-05,100.01453253378338,1,,2.5822,2.1641685535336566e-17,0.5536,0.4630499999999999,0.6490499999999999,3,,,,
X+10_Y+0_Z45,best_offset,128,2.8125,-267.0924991168317,0.0028005220044267,True,True,1.935095734477797e-05,99.98558119394944,256,,2.5822,2.1641685535336566e-17,27.8913,27.37305,27.90255,3,,,,
X+10_Y+0_Z45,mechanics_offset,128,2.8125,-267.09237381260624,0.0008553723505481,True,True,1.93433865775978e-05,99.9464633589449,256,Xp10_Yp0_Z45__Q0128,2.5822,2.1641685535336566e-17,12.6473,12.33725,13.19805,3,0.0008463370167753,True,1.9451670676420925e-05,256.0
X+10_Y+0_Z45,fixed_nearest,2048,0.17578125,-267.1420930762843,0.0003011890421535,True,True,1.9354059164036725e-05,100.00160816335564,1,,2.5822,2.1641685535336566e-17,0.5471,0.46555,0.63425,3,,,,
