command_key,case_id,levels,phase_step_deg,channels,gauge_channel,gauge_index,encoding
Xp10_Yp0_Z50__Q0004,X+10_Y+0_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0008,X+10_Y+0_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0010,X+10_Y+0_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0016,X+10_Y+0_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0032,X+10_Y+0_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0128,X+10_Y+0_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q2048,X+10_Y+0_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0004,X-10_Y+0_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0008,X-10_Y+0_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0010,X-10_Y+0_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0016,X-10_Y+0_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0032,X-10_Y+0_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0128,X-10_Y+0_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q2048,X-10_Y+0_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0004,X+0_Y+10_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0008,X+0_Y+10_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0010,X+0_Y+10_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0016,X+0_Y+10_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0032,X+0_Y+10_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0128,X+0_Y+10_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q2048,X+0_Y+10_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0004,X+0_Y-10_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0008,X+0_Y-10_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0010,X+0_Y-10_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0016,X+0_Y-10_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0032,X+0_Y-10_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0128,X+0_Y-10_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q2048,X+0_Y-10_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0004,X+0_Y+0_Z55,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0008,X+0_Y+0_Z55,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0010,X+0_Y+0_Z55,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0016,X+0_Y+0_Z55,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0032,X+0_Y+0_Z55,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q0128,X+0_Y+0_Z55,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z55__Q2048,X+0_Y+0_Z55,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0004,X+10_Y+0_Z55,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0008,X+10_Y+0_Z55,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0010,X+10_Y+0_Z55,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0016,X+10_Y+0_Z55,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0032,X+10_Y+0_Z55,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q0128,X+10_Y+0_Z55,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z55__Q2048,X+10_Y+0_Z55,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0004,X-10_Y+0_Z55,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0008,X-10_Y+0_Z55,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0010,X-10_Y+0_Z55,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0016,X-10_Y+0_Z55,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0032,X-10_Y+0_Z55,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q0128,X-10_Y+0_Z55,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z55__Q2048,X-10_Y+0_Z55,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0004,X+0_Y+10_Z55,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0008,X+0_Y+10_Z55,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0010,X+0_Y+10_Z55,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0016,X+0_Y+10_Z55,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0032,X+0_Y+10_Z55,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q0128,X+0_Y+10_Z55,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z55__Q2048,X+0_Y+10_Z55,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0004,X+0_Y-10_Z55,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0008,X+0_Y-10_Z55,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0010,X+0_Y-10_Z55,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0016,X+0_Y-10_Z55,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0032,X+0_Y-10_Z55,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q0128,X+0_Y-10_Z55,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z55__Q2048,X+0_Y-10_Z55,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
