alpha_per_m,runs,target_force_z_n,radiation_force_z_median_n,radiation_force_z_min_n,radiation_force_z_max_n,net_force_norm_median_n,net_force_norm_min_n,net_force_norm_max_n,target_hessian_min_median_n_m,iterations_median
1000.0,1,1.1142852793561358e-06,1.1142753893085824e-06,1.1142753893085824e-06,1.1142753893085824e-06,2.1926268121975287e-11,2.1926268121975287e-11,2.1926268121975287e-11,0.0022199475541460232,886.0
1000000.0,1,1.1142852793561358e-06,1.1142852157774023e-06,1.1142852157774023e-06,1.1142852157774023e-06,2.4792605165889414e-13,2.4792605165889414e-13,2.4792605165889414e-13,0.0013622012214135333,2845.0
10000000.0,1,1.1142852793561358e-06,1.114285233509104e-06,1.114285233509104e-06,1.114285233509104e-06,1.207205428670811e-13,1.207205428670811e-13,1.207205428670811e-13,0.0007557155772431085,1301.0
