run_id,seed,ablation,gamma_uniformity,std_scale_multiplier,stage_index,stage_factor,maxiter,iterations,nfev,njev,runtime_sec,objective,gradient_norm,success,status,message,force_epsilon,uniformity_epsilon,gradient_inf_norm
STD_FE_gamma1_eps1_seed260870,260870,FE,1.0,1.0,1,0.01,29750,4525,4629,4629,28.99913959999685,-0.050479879294609294,3.3520265053770327e-08,True,0,Optimization terminated successfully.,5.516991734638986e-09,4.308312117447739e-05,9.23170942529735e-09
STD_GFE_gamma0.3_eps1_seed260870,260870,GFE,0.3,1.0,0,0.05,250,250,298,298,1.5004230000049574,-0.021997475883166175,0.012715975040646785,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,0.00018883894902693417,0.004764445530420309
STD_GFE_gamma0.3_eps1_seed260870,260870,GFE,0.3,1.0,1,0.01,29750,3931,4077,4067,22.83576180000091,-0.04964731460771823,3.607901741569357e-08,False,2,Desired error not necessarily achieved due to precision loss.,1.023970712512416e-08,3.776778980538683e-05,1.3841130999224115e-08
STD_GFE_gamma1_eps0.1_seed260870,260870,GFE,1.0,0.1,0,0.05,250,250,313,313,1.6713561999931699,-0.018250182050349006,0.02830730777019549,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,1.8883894902693418e-05,0.009980902218489171
STD_GFE_gamma1_eps0.1_seed260870,260870,GFE,1.0,0.1,1,0.01,29750,4880,5048,5047,29.373429700004635,-0.045542970153969665,3.088414486020814e-08,True,0,Optimization terminated successfully.,1.023970712512416e-08,3.776778980538683e-06,9.197283075573385e-09
STD_GFE_gamma1_eps0_seed260870,260870,GFE,1.0,0.0,0,0.05,250,250,345,345,1.6858457000053022,-0.017654761026161394,0.01955722951177088,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,0.0,0.007006527013838004
STD_GFE_gamma1_eps0_seed260870,260870,GFE,1.0,0.0,1,0.01,29750,29750,32648,32648,204.7814425000106,-0.04820234092951611,0.005933323418564803,False,1,Maximum number of iterations has been exceeded.,1.023970712512416e-08,0.0,0.001514937572613654
STD_GFE_gamma1_eps10_seed260870,260870,GFE,1.0,10.0,0,0.05,250,250,294,294,1.633805299992673,-0.021036761611527715,0.012881308366454063,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,0.0018883894902693417,0.004241622075070953
STD_GFE_gamma1_eps10_seed260870,260870,GFE,1.0,10.0,1,0.01,29750,2749,2807,2807,16.77972229999432,-0.04964744363890608,3.208769856543325e-08,True,0,Optimization terminated successfully.,1.023970712512416e-08,0.0003776778980538683,8.010468256497704e-09
STD_GFE_gamma3_eps1_seed260870,260870,GFE,3.0,1.0,0,0.05,250,250,297,297,1.606956799994805,-0.0130513075380334,0.032678623585070135,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,0.00018883894902693417,0.012964722893705358
STD_GFE_gamma3_eps1_seed260870,260870,GFE,3.0,1.0,1,0.01,29750,4596,4780,4779,27.418361300005927,-0.049647256070165895,3.0205971147392785e-08,True,0,Optimization terminated successfully.,1.023970712512416e-08,3.776778980538683e-05,9.852132405764467e-09
STD_No_force_smoothing_gamma1_eps1_seed260870,260870,No force smoothing,1.0,1.0,0,0.05,250,250,293,293,1.641118200001074,-0.019290675244072016,0.013934334569397591,False,1,Maximum number of iterations has been exceeded.,0.0,0.00018883894902693417,0.004850559219581079
STD_No_force_smoothing_gamma1_eps1_seed260870,260870,No force smoothing,1.0,1.0,1,0.01,29750,29750,30687,30687,203.7700041000062,-0.049505608465675505,0.007338270544428395,False,1,Maximum number of iterations has been exceeded.,0.0,3.776778980538683e-05,0.0013723545159687529
STD_No_pressure_gamma1_eps1_seed260870,260870,No pressure,1.0,1.0,0,0.05,250,250,280,280,1.5308912000036798,-0.023488758464415282,0.004474753752674633,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,6.126288391464856e-05,0.0013120876718696727
STD_No_pressure_gamma1_eps1_seed260870,260870,No pressure,1.0,1.0,1,0.01,29750,3336,3457,3457,20.48445439999341,-0.05094907856128744,4.823104273330661e-08,True,0,Optimization terminated successfully.,1.023970712512416e-08,1.225257678292971e-05,9.875251852005677e-09
