sweep,ablation,gamma_uniformity,std_scale_multiplier,paired_seeds,median_field_cosine,minimum_field_cosine,median_worst_displacement_a,field_cosine_q25,field_cosine_q75,worst_displacement_a_q25,worst_displacement_a_q75,median_terminal_gradient_l2,terminal_gradient_l2_q25,terminal_gradient_l2_q75,loss_std_q25,loss_std_q75,median_loss_std_n_m,median_minimum_stiffness_n_m,native_success_count,all_roots_count,all_restoring_count
ablation,FE,1.0,1.0,3,0.9945208698940609,0.30175951268744844,0.9534037067244513,0.6481401912907546,0.9945238958244094,0.9533802560189533,0.9534782958895259,3.352026521983008e-08,3.3456856398364995e-08,3.5728808452110883e-08,2.614927078525115e-06,7.034952963955019e-06,3.3584020773065663e-06,0.0013625664585385651,3,3,3
ablation,No force smoothing,1.0,1.0,3,0.9999335318793607,0.1791029592506601,0.4636952739265412,0.5895182455650104,0.9999611145799117,0.4611334015331461,0.4637385744916202,0.00733827064066096,0.006368779160930876,0.007732493550539607,2.379181294508213e-06,7.827074903045407e-06,3.587858699951993e-06,0.0013185080388685951,0,3,3
ablation,No pressure,1.0,1.0,3,0.9332248471069441,0.3866820215372902,0.545496420538469,0.6599534343221172,0.9332256586831928,0.5453932506262928,0.5458022232361666,4.823108270770183e-08,3.8202089205441666e-08,4.963373152590678e-08,0.015749278171814513,0.015752016560616266,0.015749952963179943,0.0013189880394234635,3,3,3
ablation,No uniformity,1.0,1.0,3,0.9990659434387498,0.2901285031200161,0.467718159598191,0.644597223279383,0.9990690423560645,0.46761718335191854,0.4679990013323279,2.6888930858003262e-08,2.5718642531449295e-08,3.658015156585059e-08,0.0028230614903943137,0.0028251918320322473,0.002824587720844355,0.0012158880175790034,2,3,3
gamma,GFE,1.0,1.0,3,1.0,0.9999999999999998,0.45839267283213037,0.9999999999999999,1.0,0.4581805972479923,0.4852660666520294,3.04385103967114e-08,2.982636700152353e-08,3.302664604275516e-08,2.8129101763432536e-06,7.690626470249597e-06,3.618998813753253e-06,0.0013121721956807597,3,3,3
